Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
MSigDB_Hallmark_2020,Myogenesis,19/200,0.110916773278913,0.2310766109977356,0,0,1.3946329913180742,3.0667632901394515,KCNH2;APP;TGFB1;SPHK1;IGFBP3;LDB3;FOXO4;NAV2;CNN3;GNAO1;MRAS;KLF5;COL4A2;BIN1;SCD;COL6A2;BHLHE40;APOD;DMD
MSigDB_Hallmark_2020,Notch Signaling,4/32,0.1843512120756006,0.3687024241512012,0,0,1.893239522789844,3.201302525021368,MAML2;WNT5A;DTX1;PRKCA
MSigDB_Hallmark_2020,Pperoxisome,10/104,0.1944106627968946,0.3738666592247974,0,0,1.410889956531686,2.3107309348090173,SMARCC1;ABCD3;SCP2;CADM1;DLG4;ABCC8;IDH1;CEL;ABCD1;DHRS3
MSigDB_Hallmark_2020,PI3K/AKT/mTOR  Signaling,10/105,0.2023640503439172,0.3747482413776244,0,0,1.3959630258441804,2.2303119428874068,TIAM1;ACTR2;PRKAA2;CLTC;CXCR4;SFN;PLCB1;MAP3K7;EGFR;HSP90B1
MSigDB_Hallmark_2020,Adipogenesis,17/200,0.2411962173957211,0.389298284939414,0,0,1.2322798066172187,1.752479945364182,ABCA1;SCARB1;ACAA2;SOWAHC;IDH1;ITSN1;ATL2;LPL;SULT1A1;SCP2;COL4A1;CMPK1;ME1;SNCG;DNAJB9;DRAM2;IDH3A
MSigDB_Hallmark_2020,mTORC1 Signaling,17/200,0.2411962173957211,0.389298284939414,0,0,1.2322798066172187,1.752479945364182,NIBAN1;ACTR2;SRD5A1;IDH1;ITGB2;STC1;CXCR4;ASNS;ACSL3;SLC7A11;EIF2S2;HSP90B1;EPRS1;SCD;BHLHE40;ME1;SKAP2
MSigDB_Hallmark_2020,Allograft Rejection,17/200,0.2411962173957211,0.389298284939414,0,0,1.2322798066172187,1.752479945364182,LYN;CCR1;CCL22;TGFB1;GALNT1;F2R;ITGB2;ITGAL;EGFR;ACVR2A;ICAM1;IL27RA;ELF4;TIMP1;MAP3K7;ICOSLG;EIF3A
MSigDB_Hallmark_2020,Apoptosis,14/161,0.2413649366624367,0.389298284939414,0,0,1.2630858238334874,1.7954073204006498,APP;RNASEL;GUCY2D;F2R;XIAP;SAT1;DNAJC3;TGFBR3;PPP3R1;BCL2L11;ANKH;TIMP2;TIMP1;IER3
MSigDB_Hallmark_2020,heme Metabolism,16/200,0.3315241783784878,0.5168747503792273,0,0,1.1525964879331392,1.2725293803700997,MPP1;EPB41;ASNS;MOSPD1;SLC7A11;AQP3;ANK1;ELL2;TENT5C;KLF3;XK;SYNJ1;ATG4A;TOP1;YPEL5;TNRC6B
MSigDB_Hallmark_2020,Wnt-beta Catenin Signaling,4/42,0.34113733525029,0.5168747503792273,0,0,1.3942672527142266,1.4994927976248562,WNT5B;PTCH1;AXIN2;NKD1
MSigDB_Hallmark_2020,Apical Surface,4/44,0.3738099855237011,0.5497205669466193,0,0,1.3244111349036405,1.303230715999606,LYN;APP;AKAP7;MAL
MSigDB_Hallmark_2020,Bile Acid Metabolism,8/112,0.5332924689933287,0.7618463842761839,0,0,1.0181708055723804,0.6401090010389201,ABCA1;ABCD3;SCP2;IDH1;PEX1;AGXT;NR0B2;ABCD1
MSigDB_Hallmark_2020,Fatty Acid Metabolism,11/158,0.5571960785050202,0.7738834423680836,0,0,0.9902887984462078,0.5791585945378837,ACAA2;LGALS1;HSPH1;MAOA;IDH1;GPD1;ME1;FMO1;CEL;PPARA;GLUL
