Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
Reactome_2022,GTP Hydrolysis And Joining Of 60S Ribosomal Subunit R-HSA-72706,41/109,2.398211227829352e-22,2.8754552621673924e-20,0,0,9.586611025038732,477.2420975729256,RPL4;RPL30;RPL32;RPLP1;RPL12;RPLP0;RPL8;RPS14;RPL7A;RPS17;RPS16;RPS15A;RPS19;RPS3;RPL35;RPL37;RPL15;RPS2;RPL18;RPS13;RPS12;RPL19;RPS9;RPL41;RPS5;RPL13A;RPL35A;RPSA;RPS3A;RPS28;RPS27;RPS29;RPL27A;RPL37A;EIF3G;RPL27;RPS20;EIF3F;FAU;RPL28;RPS21
Reactome_2022,Selenoamino Acid Metabolism R-HSA-2408522,41/114,1.742366349156886e-21,1.8991793205810056e-19,0,0,8.927607918902247,426.7311129528717,RPL4;RPL30;RPL32;RPLP1;RPL12;RPLP0;RPL8;RPS14;RPL7A;RPS17;RPS16;RPS15A;RPS19;VSIG2;RPS3;RPL35;RPL37;RPL15;RPS2;RPL18;RPS13;RPS12;RPL19;RPS9;RPL41;RPS5;RPL13A;RPL35A;RPSA;RPS3A;MAT1A;RPS28;RPS27;RPS29;RPL27A;RPL37A;RPL27;RPS20;FAU;RPL28;RPS21
Reactome_2022,Cap-dependent Translation Initiation R-HSA-72737,41/116,3.719447531698108e-21,3.7163479920883593e-19,0,0,8.68860945907675,408.7183735819351,RPL4;RPL30;RPL32;RPLP1;RPL12;RPLP0;RPL8;RPS14;RPL7A;RPS17;RPS16;RPS15A;RPS19;RPS3;RPL35;RPL37;RPL15;RPS2;RPL18;RPS13;RPS12;RPL19;RPS9;RPL41;RPS5;RPL13A;RPL35A;RPSA;RPS3A;RPS28;RPS27;RPS29;RPL27A;RPL37A;EIF3G;RPL27;RPS20;EIF3F;FAU;RPL28;RPS21
Reactome_2022,SRP-dependent Cotranslational Protein Targeting To Membrane R-HSA-1799339,39/108,1.412571992107678e-20,1.3028260142593121e-18,0,0,8.971088247224989,410.0351584351592,RPL4;RPL30;RPL32;RPLP1;RPL12;RPLP0;RPL8;RPS14;RPL7A;RPS17;RPS16;RPS15A;RPS19;RPS3;RPL35;RPL37;RPL15;RPS2;RPL18;RPS13;RPS12;RPL19;RPS9;RPL41;RPS5;RPL13A;RPL35A;RPSA;RPS3A;RPS28;RPS27;RPS29;RPL27A;RPL37A;RPL27;RPS20;FAU;RPL28;RPS21
Reactome_2022,Nonsense Mediated Decay (NMD) Enhanced By Exon Junction Complex (EJC) R-HSA-975957,39/112,6.357744680069631e-20,5.444954193859632e-18,0,0,8.477709226532818,374.7319419250901,RPL4;RPL30;RPL32;RPLP1;RPL12;RPLP0;RPL8;RPS14;RPL7A;RPS17;RPS16;RPS15A;RPS19;RPS3;RPL35;RPL37;RPL15;RPS2;RPL18;RPS13;RPS12;RPL19;RPS9;RPL41;RPS5;RPL13A;RPL35A;RPSA;RPS3A;RPS28;RPS27;RPS29;RPL27A;RPL37A;RPL27;RPS20;FAU;RPL28;RPS21
Reactome_2022,Influenza Viral RNA Transcription And Replication R-HSA-168273,40/137,2.6678345103732838e-17,2.1324890519583786e-15,0,0,6.54087830150701,249.6174421535707,RPL4;RPL30;RPL32;RPLP1;RPL12;RPLP0;RPL8;RPS14;RPL7A;RPS17;RPS16;RPS15A;RPS19;RPS3;RPL35;POLR2G;RPL37;RPL15;RPS2;RPL18;RPS13;RPS12;RPL19;RPS9;RPL41;RPS5;RPL13A;RPL35A;RPSA;RPS3A;RPS28;RPS27;RPS29;RPL27A;RPL37A;RPL27;RPS20;FAU;RPL28;RPS21
Reactome_2022,Influenza Infection R-HSA-168255,42/157,1.427977529293233e-16,1.0700906610141167e-14,0,0,5.797204968944099,211.51161669324748,RPL4;RPL30;RPL32;RPLP1;RPL12;RPLP0;RPL8;RPS14;RPL7A;RPS17;RPS16;RPS15A;RPS19;RPS3;RPL35;POLR2G;RPL37;RPL15;RPS2;RPL18;RPS13;RPS12;RPL19;RPS9;RPL41;RPS5;RPL13A;RPL35A;RPSA;ISG15;RPS3A;RPS28;RPS27;RPS29;RPL27A;RPL37A;RPL27;RPS20;FAU;RPL28;RPS21;SLC25A6
Reactome_2022,Major Pathway Of rRNA Processing In Nucleolus And Cytosol R-HSA-6791226,45/179,1.554533783439586e-16,1.0964035331435668e-14,0,0,5.338779249532389,194.332556654599,RPL4;RPL30;RPL32;RPLP1;RPL12;RPLP0;RPL8;RPS14;RPL7A;RPS17;EXOSC5;RPS16;RPS15A;RPS19;NOB1;RPS3;RPL35;RPL37;RPL15;RPS2;RPL18;RPS13;RPS12;RPL19;NOP56;RPS9;RPL41;UTP4;RPS5;DDX56;RPL13A;RPL35A;RPSA;RPS3A;RCL1;RPS28;RPS27;RPS29;RPL27A;RPL37A;RPL27;RPS20;FAU;RPL28;RPS21
Reactome_2022,rRNA Processing In Nucleus And Cytosol R-HSA-8868773,46/189,2.7540789315340497e-16,1.8041766725295874e-14,0,0,5.115838086827848,183.2916713639625,RPL4;RPL30;RPL32;RPLP1;RPL12;RPLP0;RPL8;RPS14;RPL7A;TRMT112;RPS17;EXOSC5;RPS16;RPS15A;RPS19;NOB1;RPS3;RPL35;RPL37;RPL15;RPS2;RPL18;RPS13;RPS12;RPL19;NOP56;RPS9;RPL41;UTP4;RPS5;DDX56;RPL13A;RPL35A;RPSA;RPS3A;RCL1;RPS28;RPS27;RPS29;RPL27A;RPL37A;RPL27;RPS20;FAU;RPL28;RPS21
Reactome_2022,Regulation Of Expression Of SLITs And ROBOs R-HSA-9010553,43/167,2.858995561139463e-16,1.8041766725295874e-14,0,0,5.506479066575155,197.08179276576467,RPL4;RPL30;RPL32;RPLP1;RPL12;RPLP0;RPL8;PSMB10;RPS14;RPL7A;RPS17;RPS16;RPS15A;RPS19;RPS3;RPL35;RPL37;RPL15;RPS2;RPL18;RPS13;RPS12;RPL19;RPS9;RPL41;RPS5;RPL13A;RPL35A;RPSA;RPS3A;PSMB8;PSMB9;RPS28;RPS27;RPS29;RPL27A;RPL37A;COL4A5;RPL27;RPS20;FAU;RPL28;RPS21
