priority_rank,priority_tier_number,priority_tier,cross_signature_consistency_score,pert_id,pert_iname,ATLAS_SIG_A_TOP150,ATLAS_SIG_B_TOP100,ATLAS_SIG_B_TOP150,n_signatures,n_negative,n_strong_negative,mean_tau,median_tau,minimum_tau,strong_negative_threshold,consensus_rank,A_TOP150_negative,A_TOP150_strong_negative,B_TOP100_negative,B_TOP100_strong_negative,B_TOP150_negative,B_TOP150_strong_negative
2105,4,Tier 4 — Weak/single-signature,0,BRD-K84937637,sirolimus,0.000000,5.549122,23.188276,3,0,0,9.579133,5.549122,0.000000,-90.000000,2105,False,False,False,False,False,False
2106,4,Tier 4 — Weak/single-signature,0,BRD-K02123250,JNJ-38877605,0.000000,28.097673,5.578377,3,0,0,11.225350,5.578377,0.000000,-90.000000,2106,False,False,False,False,False,False
2107,4,Tier 4 — Weak/single-signature,0,BRD-K87919739,tyrphostin-AG-825,0.000000,38.318466,5.678945,3,0,0,14.665804,5.678945,0.000000,-90.000000,2107,False,False,False,False,False,False
2108,4,Tier 4 — Weak/single-signature,0,BRD-A31374339,fludarabine,0.000000,5.692823,8.519609,3,0,0,4.737477,5.692823,0.000000,-90.000000,2108,False,False,False,False,False,False
2109,4,Tier 4 — Weak/single-signature,0,BRD-K37694030,doxepin,0.176180,26.801971,5.710279,3,0,0,10.896143,5.710279,0.176180,-90.000000,2109,False,False,False,False,False,False
2110,4,Tier 4 — Weak/single-signature,0,BRD-U66370498,androstanol,3.737334,21.792953,5.769768,3,0,0,10.433352,5.769768,3.737334,-90.000000,2110,False,False,False,False,False,False
2111,4,Tier 4 — Weak/single-signature,0,BRD-K53220666,trimetozine,0.000000,5.833966,10.595135,3,0,0,5.476367,5.833966,0.000000,-90.000000,2111,False,False,False,False,False,False
2112,4,Tier 4 — Weak/single-signature,0,BRD-A51410489,yohimbine,0.493305,5.852651,9.664948,3,0,0,5.336968,5.852651,0.493305,-90.000000,2112,False,False,False,False,False,False
2113,4,Tier 4 — Weak/single-signature,0,BRD-K97354755,SU-6656,0.000000,5.897069,51.657227,3,0,0,19.184766,5.897069,0.000000,-90.000000,2113,False,False,False,False,False,False
2114,4,Tier 4 — Weak/single-signature,0,BRD-A00546892,biperiden,0.027327,8.828795,5.906744,3,0,0,4.920955,5.906744,0.027327,-90.000000,2114,False,False,False,False,False,False
2115,4,Tier 4 — Weak/single-signature,0,BRD-K68997413,PF-3845,0.422833,5.918392,39.902653,3,0,0,15.414626,5.918392,0.422833,-90.000000,2115,False,False,False,False,False,False
2116,4,Tier 4 — Weak/single-signature,0,BRD-K16485616,mocetinostat,0.000000,6.765328,5.957757,3,0,0,4.241028,5.957757,0.000000,-90.000000,2116,False,False,False,False,False,False
