pubchem_cid,canonical_smiles,isomeric_smiles,inchikey,molecular_formula
443586,C1=C(C=C(C=C1O)O)C(C(=O)O)N,C1=C(C=C(C=C1O)O)[C@@H](C(=O)O)N,HOOWCUZPEFNHDT-ZETCQYMHSA-N,C8H9NO4
443958,CC(=O)OCC(=O)C12C(CC3C1(CC(C4(C3CCC5=CC(=O)C=CC54C)F)O)C)OC6(O2)CCCC6,CC(=O)OCC(=O)[C@@]12[C@@H](C[C@@H]3[C@@]1(C[C@@H]([C@]4([C@H]3CCC5=CC(=O)C=C[C@@]54C)F)O)C)OC6(O2)CCCC6,ILKJAFIWWBXGDU-MOGDOJJUSA-N,C28H35FO7
444036,CCC(=O)OC1(C(CC2C1(CC(C3(C2CC(C4=CC(=O)C=CC43C)F)F)O)C)C)C(=O)SCF,CCC(=O)O[C@@]1([C@@H](C[C@@H]2[C@@]1(C[C@@H]([C@]3([C@H]2C[C@@H](C4=CC(=O)C=C[C@@]43C)F)F)O)C)C)C(=O)SCF,WMWTYOKRWGGJOA-CENSZEJFSA-N,C25H31F3O5S
445643,CC1CC(C2C(CC(C(O2)(C(=O)C(=O)N3CCCCC3C(=O)OC(C(C(CC(=O)C(C=C(C1)C)CC=C)O)C)C(=CC4CCC(C(C4)OC)O)C)O)C)OC)OC,C[C@@H]1C[C@@H]([C@@H]2[C@H](C[C@H]([C@@](O2)(C(=O)C(=O)N3CCCC[C@H]3C(=O)O[C@@H]([C@@H]([C@H](CC(=O)[C@@H](/C=C(/C1)\C)CC=C)O)C)/C(=C/[C@@H]4CC[C@H]([C@@H](C4)OC)O)/C)O)C)OC)OC,QJJXYPPXXYFBGM-LFZNUXCKSA-N,C44H69NO12
447966,C1=CC=C2C(=C1)C(=CC=N2)C3=C(NN=C3)C4=CC=CC=N4,C1=CC=C2C(=C1)C(=CC=N2)C3=C(NN=C3)C4=CC=CC=N4,IBCXZJCWDGCXQT-UHFFFAOYSA-N,C17H12N4
4485,CC1=C(C(C(=C(N1)C)C(=O)OC)C2=CC=CC=C2[N+](=O)[O-])C(=O)OC,CC1=C(C(C(=C(N1)C)C(=O)OC)C2=CC=CC=C2[N+](=O)[O-])C(=O)OC,HYIMSNHJOBLJNT-UHFFFAOYSA-N,C17H18N2O6
4493,CC1(C(=O)N(C(=O)N1)C2=CC(=C(C=C2)[N+](=O)[O-])C(F)(F)F)C,CC1(C(=O)N(C(=O)N1)C2=CC(=C(C=C2)[N+](=O)[O-])C(F)(F)F)C,XWXYUMMDTVBTOU-UHFFFAOYSA-N,C12H10F3N3O4
44968231,CC1=CC=C(O1)CNC2=NC=NC3=C2C=C(C=C3)C4=CC=C(O4)CO,CC1=CC=C(O1)CNC2=NC=NC3=C2C=C(C=C3)C4=CC=C(O4)CO,ROCFOIBAEVAOLQ-UHFFFAOYSA-N,C19H17N3O3
4679,COC1=C(C(=NC=C1)CS(=O)C2=NC3=C(N2)C=C(C=C3)OC(F)F)OC,COC1=C(C(=NC=C1)CS(=O)C2=NC3=C(N2)C=C(C=C3)OC(F)F)OC,IQPSEEYGBUAQFF-UHFFFAOYSA-N,C16H15F2N3O4S
4770,C1=CC=C(C=C1)CCCOC(=O)N,C1=CC=C(C=C1)CCCOC(=O)N,CAMYKONBWHRPDD-UHFFFAOYSA-N,C10H13NO2
50287,CN=C(NCCSCC1=CSC(=N1)N=C(N)N)NC#N,CN=C(NCCSCC1=CSC(=N1)N=C(N)N)NC#N,YDDXVAXDYKBWDX-UHFFFAOYSA-N,C10H16N8S2
5054,C1=CC(=CC(=C1)O)O,C1=CC(=CC(=C1)O)O,GHMLBKRAJCXXBS-UHFFFAOYSA-N,C6H6O2
51081,CCN1C=C(C(=O)C2=CC(=C(C=C21)N3CCN(CC3)C)F)C(=O)O,CCN1C=C(C(=O)C2=CC(=C(C=C21)N3CCN(CC3)C)F)C(=O)O,FHFYDNQZQSQIAI-UHFFFAOYSA-N,C17H20FN3O3
5277135,CC(C)C(CO)N1C=C(C(=O)C2=C1C=C(C(=C2)CC3=C(C(=CC=C3)Cl)F)OC)C(=O)O,CC(C)[C@@H](CO)N1C=C(C(=O)C2=C1C=C(C(=C2)CC3=C(C(=CC=C3)Cl)F)OC)C(=O)O,JUZYLCPPVHEVSV-LJQANCHMSA-N,C23H23ClFNO5
5280569,C1=CC(=C(C2=C1C=CC(=O)O2)O)O,C1=CC(=C(C2=C1C=CC(=O)O2)O)O,ATEFPOUAMCWAQS-UHFFFAOYSA-N,C9H6O4
