pubchem_cid,pubchem_assay_rows_n,pubchem_active_assay_n,pubchem_inactive_assay_n,pubchem_inconclusive_assay_n,pubchem_interpretable_assay_n,pubchem_active_fraction,cytotoxicity_keyword_assay_n,cytotoxicity_keyword_active_n,active_target_gene_ids,active_target_accessions
5281004,2790,162,1614,209,1776,0.0912162162162162,195,13,10242.0 | 1080.0 | 1557.0 | 1559.0 | 1576.0 | 1831.0 | 196.0 | 19885.0 | 2099.0 | 2100.0 | 2101.0 | 24208.0 | 24413.0 | 24831.0 | 2737.0 | 2908.0 | 3553.0 | 367.0 | 3725.0 | 3778.0 | 3779.0 | 4215.0 | 4306.0 | 4780.0 | 5241.0 | 5243.0 | 5914.0 | 6772.0 | 7098.0 | 7201.0 | 84385.0 | 8856.0,AAH14804 | AAI13617 | AAI32976 | AAK17196 | AAV31779 | AAV41877 | ABB72139 | ABI96208 | ADP91253 | ADZ17337 | ADZ17378 | ADZ17384 | AEP43755 | AGS09764 | B45705 | EAL24281 | EAX06628 | EDM11231 | NP_000483 | NP_000567 | NP_000918 | NP_001019265 | NP_001159576 | NP_001189403 | NP_001191194 | NP_001257783 | NP_002238 | NP_003292 | NP_004128 | NP_005823 | NP_006155 | NP_009330 | NP_035411 | NP_059488 | NP_976226 | O15455 | P04150 | P06401 | P06536 | P08235 | P10275 | P14780 | P15207 | Q690N0 | Q99576 | QLI62812
5281034,1357,145,486,324,631,0.2297939778129952,217,34,100757539.0 | 140.0 | 1551.0 | 1559.0 | 1576.0 | 19885.0 | 2099.0 | 2100.0 | 2101.0 | 24208.0 | 24831.0 | 2737.0 | 2854.0 | 3315.0 | 3356.0 | 367.0 | 4780.0 | 5241.0 | 5743.0 | 5914.0 | 59350.0 | 6850.0 | 7468.0 | 836.0 | 840.0 | 8856.0,AAH11558 | AAH14804 | AAH96839 | AAI07878 | AAI13617 | AAI32976 | AAP35329 | AAP35567 | AAV31779 | ABB72139 | ABI96208 | ADZ17337 | ADZ17378 | ADZ17384 | AEP43755 | AGS09764 | CAC88866 | CAQ07474 | EGV99105 | NP_000756 | NP_001257783 | NP_001531 | NP_006155 | NP_059488 | O75388 | O96028 | P0DMS8 | P15207 | P35354 | P43405 | Q9HBX9
5281081,922,51,422,110,473,0.1078224101479915,90,6,10257.0 | 1312.0 | 1551.0 | 1559.0 | 24267.0 | 2593.0 | 27232.0 | 2859.0 | 3091.0 | 3176.0 | 3315.0 | 367.0 | 4780.0 | 4837.0 | 51426.0 | 5409.0 | 54600.0 | 6850.0 | 7157.0 | 79068.0 | 84706.0 | 9734.0,AAG43026 | AAI32976 | AGS09764 | NP_000756 | NP_001308829 | NP_001531 | NP_006155 | NP_057302 | O15439 | O60656 | P04637 | P11086 | P11712 | P21964 | P22734 | P40261 | P43405 | P50135 | Q14353 | Q14749 | Q8TD30 | Q9C0B1 | Q9HC97 | QLI62812
5281680,68,25,8,1,33,0.7575757575757576,0,0,11040.0 | 26419.0 | 281510.0 | 5292.0 | 9212.0,3V3V_A | P0DTD1 | P11309 | P17599 | Q7ZJM1 | Q91Y86 | Q96GD4 | Q9P1W9
5281894,743,58,449,15,507,0.1143984220907297,70,0,10413.0 | 1544.0 | 1545.0 | 1588.0 | 181263.0 | 190.0 | 24173.0 | 25.0 | 25369.0 | 29290.0 | 29412.0 | 29413.0 | 3292.0 | 3293.0 | 367.0 | 4128.0 | 4129.0 | 5315.0 | 57016.0 | 672.0 | 759.0 | 760.0 | 768.0 | 771.0 | 9610.0,AAC37594 | BAC78637 | BAC78638 | NP_000466 | NP_001024547 | NP_001123617 | NP_004283 | NP_005148 | O09028 | O43570 | O60218 | P00915 | P00918 | P04150 | P05177 | P10275 | P11511 | P14061 | P14618 | P15431 | P15823 | P18506 | P18508 | P19969 | P20236 | P21397 | P23574 | P23576 | P23944 | P25099 | P27338 | P28471 | P28473 | P30191 | P30543 | P37058 | P43140 | P62813 | P63079 | P63138 | Q16678 | Q16790 | Q91ZM7 | Q9ES14
5282440,291,17,126,11,143,0.1188811188811188,13,0,1080.0 | 24886.0 | 6916.0,NP_000483 | NP_001159726 | P24557 | P49430
52947716,46,8,0,0,8,1.0,6,5,10599.0 | 28234.0,Q9NPD5 | Q9Y6L6
5311432,606,25,515,44,540,0.0462962962962962,70,0,10013.0 | 116160065.0 | 181263.0 | 20586.0 | 2101.0 | 24418.0 | 28989.0 | 2915.0 | 4864.0 | 79915.0 | 9367.0,AAH15051 | ADZ17378 | NP_000262 | NP_001024547 | NP_001137303 | NP_001167549 | NP_001243743 | NP_004242 | P08659 | P31424 | P41594 | Q9BV86 | Q9UBN7
5312557,117,3,111,3,114,0.0263157894736842,1,0,7421.0,AAP35567 | NP_001017535
53276,627,72,286,100,358,0.2011173184357542,88,7,10951.0 | 115.0 | 1565.0 | 1576.0 | 2099.0 | 2139.0 | 2593.0 | 27232.0 | 2744.0 | 3091.0 | 3176.0 | 3785.0 | 3786.0 | 4837.0 | 5409.0 | 56479.0 | 5743.0 | 58819.0 | 5999.0 | 6472.0 | 6850.0 | 7157.0 | 7421.0 | 84706.0 | 9132.0 | 956584.0 | 956586.0,2O23_A | 2O23_B | AAC35244 | AAH38507 | AAP88778 | ABC94591 | CAQ07474 | NP_000097 | NP_001017535 | NP_001020332 | NP_001119587 | NP_001120700 | NP_005235 | NP_059488 | NP_742107 | O43525 | O43526 | O60503 | P03372 | P11086 | P13699 | P21964 | P34897 | P35354 | P40261 | P43405 | P50135 | P56696 | Q14353 | Q14749 | Q8TD30 | Q9NR82
