docking_rank,pert_iname,target_symbol,target_uniprot,04r_integrated_score,docking_status,pdb_id,best_affinity_kcal_mol,protocol_validation,interpretation,protein_chain,reference_ligand,receptor_preparation_method,critical_cofactor_retained,box_center_x,box_center_y,box_center_z,box_size_x,box_size_y,box_size_z,vina_mode_n,reference_best_affinity_kcal_mol,reference_redocking_rmsd_A,ligand_source,workdir
3,sitagliptin,DPP4,P27487,13.5,COMPLETED,1X70,-8.958,PASS_RMSD_LE_2A,Computational structural-compatibility evidence only; not proof of binding or trastuzumab-resistance reversal.,A,715,OPENBABEL_PYTHON_RIGIDIFIED,False,41.18414285714285,51.04503571428571,35.62867857142857,27.394,22.0,22.0,9.0,-9.051,0.8045516925463844,https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/cid/4369359/record/SDF?record_type=3d,/home/regulus/Documents/ATLAS/results/cmap/docking/03_sitagliptin_DPP4_1X70
2,clofibrate,CYP3A4,P08684,14.0,COMPLETED,3NXU,-6.481,COMPLETED_RMSD_UNAVAILABLE,Computational structural-compatibility evidence only; not proof of binding or trastuzumab-resistance reversal.,A,RIT,OPENBABEL_PYTHON_RIGIDIFIED,True,36.68593999999999,-15.693620000000001,29.690540000000002,22.996000000000002,25.012,22.942,9.0,-10.744,,https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/cid/2796/record/SDF?record_type=3d,/home/regulus/Documents/ATLAS/results/cmap/docking/02_clofibrate_CYP3A4_3NXU
1,SIB-1893,NPSR1,Q6W5P4,14.25,SKIPPED_NO_VETTED_EXPERIMENTAL_STRUCTURE,,,NOT_APPLICABLE,Candidate retained as exploratory; no predicted structure was silently substituted.,,,,,,,,,,,,,,,
