priority_rank,priority_tier_number,priority_tier,cross_signature_consistency_score,pert_id,pert_iname,ATLAS_SIG_A_TOP150,ATLAS_SIG_B_TOP100,ATLAS_SIG_B_TOP150,n_signatures,n_negative,n_strong_negative,mean_tau,median_tau,minimum_tau,strong_negative_threshold,consensus_rank,A_TOP150_negative,A_TOP150_strong_negative,B_TOP100_negative,B_TOP100_strong_negative,B_TOP150_negative,B_TOP150_strong_negative,pubchem_cid,pubchem_title,molecular_formula,molecular_weight,canonical_smiles,isomeric_smiles,inchi,inchikey,pubchem_status,compound_classification,classification_reason,regulatory_status,regulatory_source,regulatory_verification_date,has_pubchem_identity,has_structure,multi_signature_negative,strong_cmap_support,downstream_status
35,2,Tier 2 — Consistent reversal,3,BRD-K49865102,PD-0325901,-0.070472,-85.030550,-69.957410,3,3,0,-51.686144,-69.957410,-85.030550,-90.000000,45,True,False,True,False,True,False,9826528.000000,"N-((2R)-2,3-Dihydroxypropoxy)-3,4-difluoro-2-((2-fluoro-4-iodophenyl)amino)benzamide",C16H14F3IN2O4,482.19,C1=CC(=C(C=C1I)F)NC2=C(C=CC(=C2F)F)C(=O)NOCC(CO)O,C1=CC(=C(C=C1I)F)NC2=C(C=CC(=C2F)F)C(=O)NOC[C@@H](CO)O,"InChI=1S/C16H14F3IN2O4/c17-11-3-2-10(16(25)22-26-7-9(24)6-23)15(14(11)19)21-13-4-1-8(20)5-12(13)18/h1-5,9,21,23-24H,6-7H2,(H,22,25)/t9-/m1/s1",SUDAHWBOROXANE-SECBINFHSA-N,resolved,research_or_tool_compound,"Compound name resembles an internal, medicinal-chemistry, or research identifier.",NOT_VERIFIED,,,True,True,True,False,RESEARCH_COMPOUND_REVIEW
51,2,Tier 2 — Consistent reversal,3,BRD-K54330070,SB-202190,-2.114165,-60.137074,-68.497460,3,3,0,-43.582900,-60.137074,-68.497460,-90.000000,61,True,False,True,False,True,False,5169.000000,Sb-202190,C20H14FN3O,331.3,C1=CC(=CC=C1C2=NC(=C(N2)C3=CC=NC=C3)C4=CC=C(C=C4)F)O,C1=CC(=CC=C1C2=NC(=C(N2)C3=CC=NC=C3)C4=CC=C(C=C4)F)O,"InChI=1S/C20H14FN3O/c21-16-5-1-13(2-6-16)18-19(14-9-11-22-12-10-14)24-20(23-18)15-3-7-17(25)8-4-15/h1-12,25H,(H,23,24)",QHKYPYXTTXKZST-UHFFFAOYSA-N,resolved,research_or_tool_compound,"Compound name resembles an internal, medicinal-chemistry, or research identifier.",NOT_VERIFIED,,,True,True,True,False,RESEARCH_COMPOUND_REVIEW
54,2,Tier 2 — Consistent reversal,3,BRD-A57457122,VU-0400071-3,-4.157857,-66.112760,-59.715160,3,3,0,-43.328592,-59.715160,-66.112760,-90.000000,64,True,False,True,False,True,False,,,,,,,,,not_found,research_or_tool_compound,"Compound name resembles an internal, medicinal-chemistry, or research identifier.",NOT_VERIFIED,,,False,False,True,False,RESEARCH_COMPOUND_REVIEW
58,2,Tier 2 — Consistent reversal,3,BRD-K79511609,BRD-K79511609,-42.073154,-59.437984,-67.012020,3,3,0,-56.174386,-59.437984,-67.012020,-90.000000,68,True,False,True,False,True,False,,,,,,,,,not_found,research_or_tool_compound,"Compound name resembles an internal, medicinal-chemistry, or research identifier.",NOT_VERIFIED,,,False,False,True,False,RESEARCH_COMPOUND_REVIEW
65,2,Tier 2 — Consistent reversal,3,BRD-K77133231,PD-169316,-26.292255,-69.042510,-57.065178,3,3,0,-50.799981,-57.065178,-69.042510,-90.000000,75,True,False,True,False,True,False,4712.000000,PD-169316,C20H13FN4O2,360.3,C1=CC(=CC=C1C2=NC(=C(N2)C3=CC=NC=C3)C4=CC=C(C=C4)F)[N+](=O)[O-],C1=CC(=CC=C1C2=NC(=C(N2)C3=CC=NC=C3)C4=CC=C(C=C4)F)[N+](=O)[O-],"InChI=1S/C20H13FN4O2/c21-16-5-1-13(2-6-16)18-19(14-9-11-22-12-10-14)24-20(23-18)15-3-7-17(8-4-15)25(26)27/h1-12H,(H,23,24)",BGIYKDUASORTBB-UHFFFAOYSA-N,resolved,research_or_tool_compound,"Compound name resembles an internal, medicinal-chemistry, or research identifier.",NOT_VERIFIED,,,True,True,True,False,RESEARCH_COMPOUND_REVIEW
76,2,Tier 2 — Consistent reversal,3,BRD-K05104363,PD-184352,-0.105708,-59.902153,-53.916405,3,3,0,-37.974755,-53.916405,-59.902153,-90.000000,86,True,False,True,False,True,False,6918454.000000,Ci-1040,C17H14ClF2IN2O2,478.7,C1CC1CONC(=O)C2=C(C(=C(C=C2)F)F)NC3=C(C=C(C=C3)I)Cl,C1CC1CONC(=O)C2=C(C(=C(C=C2)F)F)NC3=C(C=C(C=C3)I)Cl,"InChI=1S/C17H14ClF2IN2O2/c18-12-7-10(21)3-6-14(12)22-16-11(4-5-13(19)15(16)20)17(24)23-25-8-9-1-2-9/h3-7,9,22H,1-2,8H2,(H,23,24)",GFMMXOIFOQCCGU-UHFFFAOYSA-N,resolved,research_or_tool_compound,"Compound name resembles an internal, medicinal-chemistry, or research identifier.",NOT_VERIFIED,,,True,True,True,False,RESEARCH_COMPOUND_REVIEW
79,2,Tier 2 — Consistent reversal,3,BRD-K37720887,SB-525334,-7.751938,-61.006596,-52.980200,3,3,0,-40.579578,-52.980200,-61.006596,-90.000000,89,True,False,True,False,True,False,9967941.000000,SB-525334,C21H21N5,343.4,CC1=NC(=CC=C1)C2=C(N=C(N2)C(C)(C)C)C3=CC4=NC=CN=C4C=C3,CC1=NC(=CC=C1)C2=C(N=C(N2)C(C)(C)C)C3=CC4=NC=CN=C4C=C3,"InChI=1S/C21H21N5/c1-13-6-5-7-16(24-13)19-18(25-20(26-19)21(2,3)4)14-8-9-15-17(12-14)23-11-10-22-15/h5-12H,1-4H3,(H,25,26)",DKPQHFZUICCZHF-UHFFFAOYSA-N,resolved,research_or_tool_compound,"Compound name resembles an internal, medicinal-chemistry, or research identifier.",NOT_VERIFIED,,,True,True,True,False,RESEARCH_COMPOUND_REVIEW
83,2,Tier 2 — Consistent reversal,3,BRD-K07872006,BRD-K07872006,-51.266876,-6.900154,-82.795120,3,3,0,-46.987383,-51.266876,-82.795120,-90.000000,93,True,False,True,False,True,False,,,,,,,,,not_found,research_or_tool_compound,"Compound name resembles an internal, medicinal-chemistry, or research identifier.",NOT_VERIFIED,,,False,False,True,False,RESEARCH_COMPOUND_REVIEW
105,2,Tier 2 — Consistent reversal,3,BRD-K59184148,SB-216763,-46.452076,-44.115448,-82.625700,3,3,0,-57.731075,-46.452076,-82.625700,-90.000000,115,True,False,True,False,True,False,176158.000000,SB 216763,C19H12Cl2N2O2,371.2,CN1C=C(C2=CC=CC=C21)C3=C(C(=O)NC3=O)C4=C(C=C(C=C4)Cl)Cl,CN1C=C(C2=CC=CC=C21)C3=C(C(=O)NC3=O)C4=C(C=C(C=C4)Cl)Cl,"InChI=1S/C19H12Cl2N2O2/c1-23-9-13(11-4-2-3-5-15(11)23)17-16(18(24)22-19(17)25)12-7-6-10(20)8-14(12)21/h2-9H,1H3,(H,22,24,25)",JCSGFHVFHSKIJH-UHFFFAOYSA-N,resolved,research_or_tool_compound,"Compound name resembles an internal, medicinal-chemistry, or research identifier.",NOT_VERIFIED,,,True,True,True,False,RESEARCH_COMPOUND_REVIEW
110,2,Tier 2 — Consistent reversal,3,BRD-K76425766,BRD-K76425766,-52.625637,-36.890010,-45.384200,3,3,0,-44.966616,-45.384200,-52.625637,-90.000000,120,True,False,True,False,True,False,,,,,,,,,not_found,research_or_tool_compound,"Compound name resembles an internal, medicinal-chemistry, or research identifier.",NOT_VERIFIED,,,False,False,True,False,RESEARCH_COMPOUND_REVIEW
