,PC1,PC2,Condition
TS1,-80.20039173622553,9.284117332476068,Sensitive
TS2,-87.69589959225927,-2.242952823170941,Sensitive
TS3,-70.4207496388735,-12.320805992119931,Sensitive
TR1,86.7935020558173,-51.57066904998479,Resistant
TR2,74.18556325495688,76.27088207830421,Resistant
TR3,77.33797565658399,-19.420571545504657,Resistant
