,TS1,TS2,TS3,TR1,TR2,TR3
TS1,1.0,0.9907949332642225,0.9910810369039454,0.9794051774343825,0.9792848007248154,0.979217161410554
TS2,0.9907949332642225,1.0,0.9902389481184294,0.9782361904743185,0.9776718115071357,0.9777812908791744
TS3,0.9910810369039454,0.9902389481184294,1.0,0.9803583582361715,0.9800818081862727,0.9800183107557727
TR1,0.9794051774343825,0.9782361904743185,0.9803583582361715,1.0,0.9901500229740803,0.9923742559995334
TR2,0.9792848007248154,0.9776718115071357,0.9800818081862727,0.9901500229740803,1.0,0.9902469212152787
TR3,0.979217161410554,0.9777812908791744,0.9800183107557727,0.9923742559995334,0.9902469212152787,1.0
