query,signature_id,pert_id,pert_iname,pert_type,cell_id,pert_idose,pert_itime,is_touchstone,is_exemplar,connectivity
ATLAS_SIG_B_TOP100,CPC003_HCC515_24H:BRD-K01095011-001-03-5:10,BRD-K01095011,finasteride,trt_cp,HCC515,10 �M,24 h,1,0,0.0
ATLAS_SIG_B_TOP100,CPC002_HCC515_24H:BRD-K47639036-003-03-3:10,BRD-K47639036,flavoxate,trt_cp,HCC515,10 �M,24 h,1,0,0.0
ATLAS_SIG_B_TOP100,CPC004_HCC515_24H:BRD-A09472452-015-11-9:10,BRD-A09472452,flecainide,trt_cp,HCC515,10 �M,24 h,1,0,0.0
ATLAS_SIG_B_TOP100,CPC003_HCC515_24H:BRD-A13650332-236-03-9:10,BRD-A13650332,flucloxacillin,trt_cp,HCC515,10 �M,24 h,1,0,0.20399141
ATLAS_SIG_B_TOP100,CPC002_HCC515_24H:BRD-K98769987-001-09-6:10,BRD-K98769987,flumazenil,trt_cp,HCC515,10 �M,24 h,1,0,0.0
ATLAS_SIG_B_TOP100,CPC003_HCC515_24H:BRD-K61496577-001-03-8:10,BRD-K61496577,flumetasone,trt_cp,HCC515,10 �M,24 h,1,0,0.0
ATLAS_SIG_B_TOP100,CPC001_HCC515_24H:BRD-K12184470-300-01-8:10,BRD-K12184470,flunarizine,trt_cp,HCC515,10 �M,24 h,1,0,0.23597041
ATLAS_SIG_B_TOP100,CPC002_HCC515_24H:BRD-K49577446-001-03-1:10,BRD-K49577446,flunisolide,trt_cp,HCC515,10 �M,24 h,1,0,-0.23912641
ATLAS_SIG_B_TOP100,CPC003_HCC515_24H:BRD-K53987533-003-01-9:10,BRD-K53987533,fluphenazine,trt_cp,HCC515,10 �M,24 h,1,0,-0.26007527
ATLAS_SIG_B_TOP100,CPC003_HCC515_24H:BRD-K00824317-001-03-0:10,BRD-K00824317,fludroxycortide,trt_cp,HCC515,10 �M,24 h,1,0,-0.2805171
ATLAS_SIG_B_TOP100,CPC003_HCC515_24H:BRD-K67445247-001-01-3:10,BRD-K67445247,flurofamide,trt_cp,HCC515,10 �M,24 h,1,0,0.0
ATLAS_SIG_B_TOP100,CPC004_HCC515_24H:BRD-K77947974-001-05-6:10,BRD-K77947974,fluspirilene,trt_cp,HCC515,10 �M,24 h,1,0,0.3624863
ATLAS_SIG_B_TOP100,CPC001_HCC515_24H:BRD-A59943784-001-01-8:10,BRD-A59943784,fluticasone,trt_cp,HCC515,10 �M,24 h,1,0,0.0
ATLAS_SIG_B_TOP100,CPC001_HCC515_24H:BRD-K62310379-001-03-0:10,BRD-K62310379,fluticasone-propionate,trt_cp,HCC515,10 �M,24 h,1,0,-0.3129874
ATLAS_SIG_B_TOP100,CPC003_HCC515_24H:BRD-K72676686-103-01-8:10,BRD-K72676686,fluvoxamine,trt_cp,HCC515,10 �M,24 h,1,0,0.2836731
ATLAS_SIG_B_TOP100,CPC001_HCC515_24H:BRD-A49734948-001-03-3:10,BRD-A49734948,foliosidine,trt_cp,HCC515,10 �M,24 h,1,0,0.0
ATLAS_SIG_B_TOP100,CPC002_HCC515_24H:BRD-M00539986-051-01-1:10,BRD-M00539986,formoterol,trt_cp,HCC515,10 �M,24 h,1,0,0.23462445
ATLAS_SIG_B_TOP100,CPC004_HCC515_24H:BRD-K09602097-001-04-5:10,BRD-K09602097,forskolin,trt_cp,HCC515,10 �M,24 h,1,0,0.26893502
ATLAS_SIG_B_TOP100,CPC003_HCC515_24H:BRD-K03015355-003-01-5:10,BRD-K03015355,forskolin,trt_cp,HCC515,10 �M,24 h,1,0,-0.28109702
ATLAS_SIG_B_TOP100,CPC001_HCC515_24H:BRD-K87049188-001-03-6:10,BRD-K87049188,fusaric-acid,trt_cp,HCC515,10 �M,24 h,1,0,0.0
ATLAS_SIG_B_TOP100,CPC003_HCC515_24H:BRD-K18059238-001-02-1:10,BRD-K18059238,gamma-linolenic-acid,trt_cp,HCC515,10 �M,24 h,1,0,0.32511073
ATLAS_SIG_B_TOP100,CPC001_HCC515_24H:BRD-K77998258-001-02-3:10,BRD-K77998258,ganglioside,trt_cp,HCC515,10 �M,24 h,1,0,-0.27732295
ATLAS_SIG_B_TOP100,CPC002_HCC515_24H:BRD-K92015269-001-01-6:10,BRD-K92015269,GBR-12783,trt_cp,HCC515,10 �M,24 h,1,0,0.0
ATLAS_SIG_B_TOP100,CPC002_HCC515_24H:BRD-K34034388-300-01-0:10,BRD-K34034388,GBR-12783,trt_cp,HCC515,10 �M,24 h,1,0,-0.30598104
ATLAS_SIG_B_TOP100,CPC002_HCC515_24H:BRD-K32501161-300-04-7:10,BRD-K32501161,vanoxerine,trt_cp,HCC515,10 �M,24 h,1,1,-0.30872214
ATLAS_SIG_B_TOP100,CPC002_HCC515_24H:BRD-K50135270-300-01-5:10,BRD-K50135270,GBR-12935,trt_cp,HCC515,10 �M,24 h,1,0,0.28131798
ATLAS_SIG_B_TOP100,CPC003_HCC515_24H:BRD-K92577649-001-01-6:10,BRD-K92577649,GBR-13069,trt_cp,HCC515,10 �M,24 h,1,0,-0.20322287
ATLAS_SIG_B_TOP100,CPC001_HCC515_24H:BRD-K11634954-300-01-8:10,BRD-K11634954,GBR-13069,trt_cp,HCC515,10 �M,24 h,1,0,0.0
ATLAS_SIG_B_TOP100,CPC004_HCC515_24H:BRD-A29082194-001-02-4:10,BRD-A29082194,gitoxigenin,trt_cp,HCC515,10 �M,24 h,1,0,0.336587
ATLAS_SIG_B_TOP100,CPC003_HCC515_24H:BRD-K12219985-001-15-4:10,BRD-K12219985,glipizide,trt_cp,HCC515,10 �M,24 h,1,0,0.0
ATLAS_SIG_B_TOP100,CPC004_HCC515_24H:BRD-K51662849-001-03-9:10,BRD-K51662849,ilomastat,trt_cp,HCC515,10 �M,24 h,1,0,0.21217029
ATLAS_SIG_B_TOP100,CPC003_HCC515_24H:BRD-K65285700-001-01-5:10,BRD-K65285700,GP-1a,trt_cp,HCC515,10 �M,24 h,1,0,0.0
ATLAS_SIG_B_TOP100,CPC002_HCC515_24H:BRD-K34608650-001-01-6:10,BRD-K34608650,GP-2a,trt_cp,HCC515,10 �M,24 h,1,0,0.0
ATLAS_SIG_B_TOP100,CPC004_HCC515_24H:BRD-K49945136-001-03-5:10,BRD-K49945136,GR-113808,trt_cp,HCC515,10 �M,24 h,1,0,0.0
ATLAS_SIG_B_TOP100,CPC001_HCC515_24H:BRD-K11911061-003-02-8:10,BRD-K11911061,GR-127935,trt_cp,HCC515,10 �M,24 h,1,0,0.27503192
ATLAS_SIG_B_TOP100,CPC001_HCC515_24H:BRD-K12120659-305-01-4:10,BRD-K12120659,GR-144053,trt_cp,HCC515,10 �M,24 h,1,0,-0.24682961
ATLAS_SIG_B_TOP100,CPC002_HCC515_24H:BRD-K52394958-001-01-9:10,BRD-K52394958,GR-159897,trt_cp,HCC515,10 �M,24 h,1,0,-0.38372028
ATLAS_SIG_B_TOP100,CPC001_HCC515_24H:BRD-K02283807-003-01-4:10,BRD-K02283807,GR-32191,trt_cp,HCC515,10 �M,24 h,1,0,0.26725435
ATLAS_SIG_B_TOP100,CPC003_HCC515_24H:BRD-K68190965-001-01-4:10,BRD-K68190965,GR-46611,trt_cp,HCC515,10 �M,24 h,1,0,-0.23616737
ATLAS_SIG_B_TOP100,CPC002_HCC515_24H:BRD-K46441700-300-01-4:10,BRD-K46441700,GR-55562,trt_cp,HCC515,10 �M,24 h,1,0,0.0
ATLAS_SIG_B_TOP100,CPC002_HCC515_24H:BRD-K40578143-001-01-8:10,BRD-K40578143,GR-79236,trt_cp,HCC515,10 �M,24 h,1,0,-0.28901404
ATLAS_SIG_B_TOP100,CPC001_HCC515_24H:BRD-A93659613-051-03-6:10,BRD-A93659613,GR-89696,trt_cp,HCC515,10 �M,24 h,1,0,0.0
ATLAS_SIG_B_TOP100,CPC003_HCC515_24H:BRD-K75478907-001-01-5:10,BRD-K75478907,GS-39783,trt_cp,HCC515,10 �M,24 h,1,0,-0.2986802
ATLAS_SIG_B_TOP100,CPC001_HCC515_24H:BRD-K67860401-001-01-5:10,BRD-K67860401,AR-A014418,trt_cp,HCC515,10 �M,24 h,1,0,0.0
ATLAS_SIG_B_TOP100,CPC002_HCC515_24H:BRD-K16664969-001-02-5:10,BRD-K16664969,GTP-14564,trt_cp,HCC515,10 �M,24 h,1,0,0.31804734
ATLAS_SIG_B_TOP100,CPC004_HCC515_24H:BRD-K32830106-001-01-8:10,BRD-K32830106,guanfacine,trt_cp,HCC515,10 �M,24 h,1,0,0.25985074
ATLAS_SIG_B_TOP100,CPC002_HCC515_24H:BRD-K82983861-001-01-9:10,BRD-K82983861,GW-0742,trt_cp,HCC515,10 �M,24 h,1,0,0.28799802
ATLAS_SIG_B_TOP100,CPC004_HCC515_24H:BRD-A15415227-003-01-1:10,BRD-A15415227,GW-1929,trt_cp,HCC515,10 �M,24 h,1,0,0.33524647
ATLAS_SIG_B_TOP100,CPC001_HCC515_24H:BRD-A38898897-003-01-0:10,BRD-A38898897,GW-311616,trt_cp,HCC515,10 �M,24 h,1,0,0.0
ATLAS_SIG_B_TOP100,CPC004_HCC515_24H:BRD-K33818169-003-01-2:10,BRD-K33818169,GW-3965,trt_cp,HCC515,10 �M,24 h,1,0,0.30567104
ATLAS_SIG_B_TOP100,CPC003_HCC515_24H:BRD-K10705233-001-01-4:10,BRD-K10705233,GW-405833,trt_cp,HCC515,10 �M,24 h,1,0,0.27403784
ATLAS_SIG_B_TOP100,CPC004_HCC515_24H:BRD-K64245000-001-01-7:10,BRD-K64245000,GW-4064,trt_cp,HCC515,10 �M,24 h,1,0,0.22717224
ATLAS_SIG_B_TOP100,CPC002_HCC515_24H:BRD-K04146668-001-01-3:10,BRD-K04146668,GW-441756,trt_cp,HCC515,10 �M,24 h,1,0,0.0
ATLAS_SIG_B_TOP100,CPC001_HCC515_24H:BRD-K79930101-300-01-1:10,BRD-K79930101,GW-583340,trt_cp,HCC515,10 �M,24 h,1,0,0.0
ATLAS_SIG_B_TOP100,CPC003_HCC515_24H:BRD-A72596465-001-01-3:10,BRD-A72596465,GW-6471,trt_cp,HCC515,10 �M,24 h,1,0,0.0
ATLAS_SIG_B_TOP100,CPC004_HCC515_24H:BRD-K96263742-001-02-3:10,BRD-K96263742,GW-7647,trt_cp,HCC515,10 �M,24 h,1,0,0.0
ATLAS_SIG_B_TOP100,CPC002_HCC515_24H:BRD-K90382497-001-02-4:10,BRD-K90382497,GW-843682X,trt_cp,HCC515,10 �M,24 h,1,1,-0.2243167
ATLAS_SIG_B_TOP100,CPC001_HCC515_24H:BRD-K71534238-001-03-5:10,BRD-K71534238,GW-9508,trt_cp,HCC515,10 �M,24 h,1,1,0.0
