pert_id,pert_iname,n_signatures,median_connectivity,mean_connectivity,best_connectivity,worst_connectivity,n_negative_signatures
BRD-A17411484,carprofen,8,-0.295897855,-0.30586818875,-0.44174638,-0.18981126,8
BRD-K89375097,pirenzepine,5,-0.29587793,-0.316285252,-0.38492686,-0.27580833,5
BRD-K94176593,TWS-119,6,-0.29587235,-0.295764955,-0.33916557,-0.25185785,6
BRD-K58938839,cyclopamine,4,-0.29585804,-0.28713157,-0.32791156,-0.22889864,4
BRD-A10715913,sulpiride,4,-0.295844335,-0.28715167,-0.3141232,-0.24279481,4
BRD-M64432851,sunitinib,7,-0.29582292,-0.2907492,-0.32089356,-0.2607884,7
BRD-A83081521,finasteride,6,-0.2957048,-0.29090357666666666,-0.3493525,-0.23322478,6
BRD-A24429032,BE-2254,6,-0.29560749,-0.28186878,-0.32675603,-0.21165194,6
BRD-K29668683,BD-1063,4,-0.295569735,-0.28964487,-0.35691816,-0.21052185,4
BRD-K33211335,dextromethorphan,13,-0.29553014,-0.2889954830769231,-0.36668143,-0.22254458,13
BRD-K84663978,trequinsin,17,-0.29552913,-0.2880065805882353,-0.35836163,-0.2088398,17
BRD-K59222562,BRD-K59222562,7,-0.29550764,-0.30257603571428576,-0.339217,-0.25261348,7
BRD-K34441861,moexipril,7,-0.29544196,-0.28859375857142855,-0.36212814,-0.20789996,7
BRD-K52735702,cefdinir,4,-0.295436735,-0.2770929575,-0.3156374,-0.20186096,4
BRD-K80396088,gliquidone,9,-0.29542273,-0.2800653477777778,-0.33305705,-0.19324648,9
BRD-A34299591,budesonide,4,-0.29537108,-0.30094513,-0.33547422,-0.27756414,4
BRD-A78942461,ICI-118551,2,-0.29531388999999997,-0.29531388999999997,-0.310198,-0.28042978,2
BRD-M41783010,acamprosate,3,-0.29529512,-0.31683296,-0.37530142,-0.27990234,3
BRD-K00662280,CL-218872,6,-0.295259135,-0.294537835,-0.38256818,-0.20174757,6
BRD-K06014311,DH-97,2,-0.29524514,-0.29524514,-0.3083927,-0.28209758,2
BRD-A17428743,BW-723C86,5,-0.29520515,-0.284797224,-0.33409008,-0.24209222,5
BRD-K36927236,glibenclamide,14,-0.29515026,-0.2929407064285714,-0.3710797,-0.19354203,14
BRD-K50387473,XMD-892,6,-0.29510747000000004,-0.3094694666666667,-0.36417365,-0.26902723,6
BRD-K77625572,etomoxir,7,-0.2950875,-0.2836936271428571,-0.3336243,-0.21849494,7
BRD-K99621550,tubocurarine,6,-0.295017135,-0.303326905,-0.40252596,-0.24029532,6
BRD-A09925278,etilefrine,4,-0.29497631999999996,-0.3033954175,-0.35809723,-0.2655318,4
BRD-K89125793,tinidazole,4,-0.294923685,-0.2969398425,-0.3077515,-0.2901605,4
BRD-A98725278,methysergide,7,-0.29489857,-0.28682366,-0.35349095,-0.2178959,7
BRD-A07395371,esmolol,7,-0.29486942,-0.2700879528571428,-0.35630554,-0.17192096,7
BRD-K12102668,nialamide,5,-0.2948376,-0.293219852,-0.32500076,-0.24647737,5
BRD-A96882008,L-732138,2,-0.29482809499999996,-0.29482809499999996,-0.35277325,-0.23688294,2
BRD-A92585442,RU-28318,6,-0.29479821,-0.2791164683333333,-0.3256697,-0.20391272,6
BRD-K59184148,SB-216763,10,-0.294773985,-0.280355467,-0.3433709,-0.19794872,10
BRD-K09436313,prostaglandin,6,-0.29469964,-0.2775893,-0.33953553,-0.17870474,6
BRD-A36010170,amcinonide,12,-0.29459270000000004,-0.2958423466666667,-0.3557632,-0.22520086,12
BRD-K93725829,ERK-inhibitor-11E,8,-0.294575795,-0.2937452575,-0.37112802,-0.2178537,8
BRD-A49765801,fludroxycortide,3,-0.29456934,-0.29144298,-0.29710937,-0.28265023,3
BRD-K14765469,vesamicol,6,-0.294564015,-0.29955544166666664,-0.3365151,-0.26603496,6
BRD-K93176058,AC-55649,7,-0.2945249,-0.27455833571428573,-0.30495507,-0.20261118,7
BRD-K60511616,pravastatin,10,-0.29448366000000004,-0.298157206,-0.39657667,-0.21600598,10
BRD-A39052811,mosapride,4,-0.294470605,-0.293295025,-0.30587232,-0.27836657,4
BRD-K15601958,SEW-2871,4,-0.29444233,-0.301294,-0.36954492,-0.24674642,4
BRD-A01317026,"7,8-dihydro-L-biopterin",4,-0.29434772499999995,-0.2848294575,-0.29912728,-0.2514951,4
BRD-K27665173,D-64406,5,-0.2943442,-0.28946172,-0.36324978,-0.19543566,5
BRD-A03216249,mepivacaine,6,-0.29426451,-0.2935149633333333,-0.38130292,-0.19542202,6
BRD-K71289571,zafirlukast,9,-0.29421872,-0.2894820088888889,-0.36197427,-0.19832611,9
BRD-K84639753,safinamide,6,-0.294217185,-0.30784447666666664,-0.42293173,-0.24689503,6
BRD-A56592690,PX-12,1,-0.29417717,-0.29417717,-0.29417717,-0.29417717,1
BRD-K40213712,SAL-1,6,-0.29403689,-0.2827029016666667,-0.33193633,-0.23176548,6
BRD-K43887077,dopamine,8,-0.293977425,-0.2954574325,-0.39083117,-0.19624262,8
BRD-A84493640,atovaquone,5,-0.29395872,-0.30281499,-0.37245053,-0.26484013,5
BRD-K51941867,LM-1685,5,-0.29390782,-0.286794822,-0.34173548,-0.23865506,5
BRD-K01612348,meropenem,13,-0.29388618,-0.2819442023076923,-0.3478508,-0.17782453,13
BRD-K64755930,etazolate,6,-0.29387122499999996,-0.29922637999999996,-0.3827484,-0.23545891,6
BRD-A07875874,cilnidipine,2,-0.29386499499999996,-0.29386499499999996,-0.30208582,-0.28564417,2
BRD-K88611939,aniracetam,5,-0.2938187,-0.293016224,-0.3250832,-0.26911554,5
BRD-A43331270,niguldipine,2,-0.293789375,-0.293789375,-0.34553525,-0.2420435,2
BRD-A53131506,epitestosterone,4,-0.29374677,-0.285273355,-0.3389494,-0.21465048,4
BRD-K18618618,cimetidine,4,-0.29370402500000004,-0.2941172425,-0.3161353,-0.27292562,4
BRD-K07237224,moclobemide,3,-0.29368484,-0.271654,-0.34457368,-0.17670348,3
BRD-K81225797,SCH-58261,3,-0.2936461,-0.29796113333333335,-0.3383289,-0.2619084,3
BRD-K99107520,felbamate,12,-0.29357663,-0.2971695641666667,-0.40377808,-0.20307773,12
BRD-A84481105,thioridazine,34,-0.29357365,-0.28800321441176474,-0.37910318,-0.19473143,34
BRD-A29734509,disopyramide,8,-0.293555335,-0.2888596225,-0.35115772,-0.22277124,8
BRD-K25310650,ormetoprim,3,-0.2935155,-0.30325824333333334,-0.3663345,-0.24992473,3
BRD-A37347161,BRL-52537,5,-0.29349956,-0.277460438,-0.3076334,-0.2058171,5
BRD-A52282606,lacidipine,4,-0.29348024,-0.28087302000000003,-0.30396855,-0.23256305,4
BRD-A62336480,niguldipine,2,-0.293446915,-0.293446915,-0.3082887,-0.27860513,2
BRD-K74236984,UNC-0321,8,-0.29343572,-0.2978409175,-0.34623313,-0.23128513,8
BRD-A14574269,UB-165,4,-0.29340311500000005,-0.2766303725,-0.32010412,-0.19961114,4
BRD-K01649396,indatraline,5,-0.29339662,-0.274425328,-0.33046162,-0.2209577,5
BRD-K86682249,BRD-K86682249,12,-0.29331697,-0.2833905858333333,-0.36146978,-0.20010799,12
BRD-K01493881,apigenin,8,-0.293275445,-0.292097065,-0.407008,-0.20762676,8
BRD-K45330754,diethylstilbestrol,16,-0.29325724,-0.294308531875,-0.38129842,-0.21323092,16
BRD-A75817871,blebbistatin,7,-0.2932522,-0.27907733285714287,-0.34042013,-0.20454733,7
BRD-K94887716,TFMPP,6,-0.29321617,-0.2858732666666667,-0.35687846,-0.17827384,6
BRD-K74765201,tomelukast,13,-0.29319608,-0.2918615676923077,-0.3754446,-0.19181593,13
BRD-A20968261,WAY-213613,5,-0.29318556,-0.283969608,-0.3272701,-0.21239808,5
BRD-K77171813,proxyfan,8,-0.29316435,-0.30400644625,-0.3769725,-0.24431378,8
BRD-K48923948,BMS-641988,9,-0.2931046,-0.2963910255555555,-0.39592886,-0.22018796,9
BRD-A15931911,bucladesine,1,-0.29305118,-0.29305118,-0.29305118,-0.29305118,1
BRD-A75478957,PD-166793,5,-0.2930272,-0.289899428,-0.35119987,-0.18427148,5
BRD-K21672174,Ro-28-1675,19,-0.2930149,-0.2934100036842105,-0.38734987,-0.23236604,19
BRD-K27499107,carbacyclin,8,-0.29297624499999997,-0.29098876375,-0.3580091,-0.2502442,8
BRD-K31920458,mestranol,11,-0.29295933,-0.29141525727272727,-0.39000297,-0.20514467,11
BRD-K87048468,RS-102221,4,-0.29292114999999996,-0.2859404625,-0.3030641,-0.25485545,4
BRD-A83431637,resmethrin,3,-0.29284894,-0.28563432,-0.3130132,-0.25104082,3
BRD-K94379058,BML-190,5,-0.2928282,-0.293066126,-0.3637548,-0.23040313,5
BRD-K18910433,estradiol,69,-0.29281926,-0.29538504898550727,-0.4147784,-0.18095489,69
BRD-K32696739,noreleagnine,10,-0.29279767,-0.294121582,-0.40445572,-0.19467516,10
BRD-K46652470,nizatidine,5,-0.2927431,-0.27989504800000004,-0.3274566,-0.21100149,5
BRD-K81029756,diltiazem,2,-0.292718425,-0.292718425,-0.30668193,-0.27875492,2
BRD-A27887842,prednisolone,6,-0.292710855,-0.2789224316666667,-0.335171,-0.17943051,6
BRD-K14681867,somatostatin,2,-0.292705075,-0.292705075,-0.37331632,-0.21209383,2
BRD-K41143549,N20C,9,-0.2926915,-0.30346530666666666,-0.3578739,-0.23305666,9
BRD-K03642198,AY-9944,6,-0.29265863999999997,-0.29439374833333337,-0.3587541,-0.23333645,6
BRD-K96862998,pirfenidone,6,-0.292631985,-0.29099918333333336,-0.3396141,-0.23878086,6
BRD-A09056319,alfuzosin,11,-0.29260415,-0.2947212827272727,-0.36156523,-0.22468793,11
BRD-K32405725,etomoxir,5,-0.29259515,-0.30137042599999997,-0.36772183,-0.23761967,5
BRD-K92726801,hydrastinine,6,-0.2925727,-0.2802461216666667,-0.36321414,-0.19502807,6
BRD-K42095107,daidzein,5,-0.29255825,-0.28352503,-0.3834186,-0.20374784,5
BRD-K28849549,mesalazine,3,-0.29254854,-0.27824572,-0.31026,-0.23192862,3
BRD-K04218075,clomifene,18,-0.29253064500000003,-0.28011198944444443,-0.40125307,-0.18013284,18
BRD-K09778810,FGIN-1-27,12,-0.292517575,-0.2936931208333333,-0.3603924,-0.23947516,12
BRD-K51541829,Ro-25-6981,4,-0.292376815,-0.28173709750000003,-0.32688493,-0.21530983,4
BRD-A79903587,tegafur,3,-0.2923758,-0.29355691333333334,-0.3282177,-0.26007724,3
BRD-K52662033,lidocaine,20,-0.292352615,-0.298861509,-0.40806034,-0.21090621,20
BRD-K98426715,tubacin,7,-0.29230696,-0.2935984128571429,-0.34336352,-0.2391395,7
BRD-A16754160,ampicillin,2,-0.2922574,-0.2922574,-0.30145663,-0.28305817,2
BRD-K09397065,SR-57227A,6,-0.29224974,-0.28908842333333334,-0.368231,-0.20569089,6
BRD-K08206212,entecavir,2,-0.29220488499999997,-0.29220488499999997,-0.3154751,-0.26893467,2
BRD-A42167015,carteolol,2,-0.29219001499999997,-0.29219001499999997,-0.33707803,-0.247302,2
BRD-K46441700,GR-55562,7,-0.29217744,-0.2993617471428571,-0.38652366,-0.19708389,7
BRD-K84266862,BRL-50481,6,-0.29212932,-0.30739775166666666,-0.38904947,-0.24830976,6
BRD-K81855038,roxatidine-acetate,2,-0.29210715,-0.29210715,-0.32635444,-0.25785986,2
BRD-K01624546,docosatrienoic-acid,7,-0.29210263,-0.30168579428571424,-0.3741979,-0.25208968,7
BRD-K83023055,GR-135531,5,-0.29208407,-0.289767888,-0.3800357,-0.2013653,5
BRD-K99451608,lopinavir,5,-0.2920078,-0.30376635799999996,-0.3870315,-0.24634893,5
BRD-A60414806,vincristine,6,-0.291969865,-0.2799844166666667,-0.303734,-0.20883396,6
BRD-K62056274,N-methylquipazine,6,-0.29189064,-0.27592791833333336,-0.32906437,-0.19980967,6
BRD-A75172220,hydrocortisone,7,-0.29186767,-0.2634292814285714,-0.32106328,-0.16542125,7
BRD-K64614248,salicin,5,-0.29179624,-0.287611126,-0.37487882,-0.19723845,5
BRD-A03623303,metoprolol,4,-0.291793685,-0.29218832,-0.34140366,-0.24376225,4
BRD-K35458079,edaravone,3,-0.29171485,-0.31159146666666665,-0.3937718,-0.24928775,3
BRD-K15715913,fluperlapine,8,-0.29169809999999996,-0.28965557,-0.34784594,-0.20744878,8
BRD-K41051431,mecillinam,5,-0.2916902,-0.28227556800000003,-0.3383343,-0.2114628,5
BRD-A93048969,BRD-A93048969,5,-0.29164603,-0.290323806,-0.37262505,-0.23423243,5
BRD-K00532621,midazolam,4,-0.29163775999999997,-0.30891236,-0.39056632,-0.2618076,4
BRD-A36217750,sulfinpyrazone,6,-0.2916137,-0.30039742666666663,-0.37835598,-0.2502554,6
BRD-A91555231,norepinephrine,8,-0.291611285,-0.2886765525,-0.35729435,-0.21983033,8
BRD-K82255054,propofol,5,-0.29158908,-0.311696692,-0.38591436,-0.2651444,5
BRD-K45446451,JZL-184,6,-0.291581165,-0.29637291,-0.40126985,-0.22252211,6
BRD-K12867552,PCI-24781,1,-0.29156536,-0.29156536,-0.29156536,-0.29156536,1
BRD-A22380646,pantoprazole,13,-0.29149792,-0.28547187230769233,-0.3546775,-0.19441728,13
BRD-A06726973,dibutyrylcyclic-gmp,3,-0.2914536,-0.2890252566666667,-0.33427173,-0.24135044,3
BRD-K44442813,pidotimod,4,-0.291440445,-0.2944235025,-0.33689442,-0.2579187,4
BRD-K82818427,batimastat,6,-0.291439875,-0.28155120666666666,-0.34639964,-0.21894144,6
BRD-K82143716,flucytosine,6,-0.29140255000000004,-0.3079328516666667,-0.40124953,-0.21748471,6
BRD-A29082194,gitoxigenin,4,-0.29139351999999996,-0.312427835,-0.37708098,-0.28984332,4
BRD-K14550461,doxercalciferol,4,-0.2913871,-0.29700328,-0.3654061,-0.23983282,4
BRD-K19295594,gossypol,6,-0.29134684,-0.294484975,-0.3758578,-0.24229795,6
BRD-K55034111,pefloxacin,9,-0.2913457,-0.2888415766666667,-0.38429287,-0.24348935,9
BRD-K03816923,rottlerin,14,-0.291316935,-0.28135951428571426,-0.35315156,-0.20600212,14
BRD-K03319035,maprotiline,5,-0.2913009,-0.298892868,-0.3577336,-0.23713252,5
BRD-K55468218,spiperone,12,-0.29125784499999996,-0.29471101666666666,-0.3787616,-0.22100437,12
BRD-A22256192,terazosin,11,-0.29122066,-0.30280023181818183,-0.4201889,-0.24830092,11
BRD-A56359832,zileuton,17,-0.29121262,-0.2857033982352941,-0.3747675,-0.19922125,17
BRD-K21667562,AM-404,2,-0.29120128,-0.29120128,-0.34206787,-0.24033469,2
BRD-A64933752,CV-1808,2,-0.29118805999999997,-0.29118805999999997,-0.29293114,-0.28944498,2
BRD-K23566484,nilutamide,10,-0.29117605,-0.295787784,-0.34668785,-0.24367227,10
BRD-A58048407,nimodipine,13,-0.2910688,-0.29248141615384615,-0.39596474,-0.21382636,13
BRD-A62035778,scopolamine,7,-0.29101178,-0.2958437428571429,-0.3519283,-0.23577136,7
BRD-K37940862,BRD-K37940862,3,-0.29095826,-0.2722461333333333,-0.33671737,-0.18906277,3
BRD-K29905972,axitinib,7,-0.29091018,-0.3038556242857143,-0.36662722,-0.21538568,7
BRD-K33272502,DG-041,5,-0.29090822,-0.292183154,-0.35791358,-0.25230134,5
BRD-A19661776,mianserin,7,-0.2908909,-0.2808258571428571,-0.33775854,-0.19923577,7
BRD-U86922168,QL-XII-47,4,-0.29086847,-0.291614645,-0.37589306,-0.20882858,4
BRD-K44899736,Ro-16-6941,3,-0.29083985,-0.29871288,-0.3825419,-0.22275689,3
BRD-K15563106,phloretin,17,-0.29078454,-0.28913547588235294,-0.41886306,-0.19171226,17
BRD-K20482099,rutin,8,-0.29076688,-0.28303201499999997,-0.3569965,-0.16709802,8
BRD-A65615053,zacopride,11,-0.29074985,-0.27228805727272726,-0.3570081,-0.19136602,11
BRD-K18799075,BAY-59-3074,4,-0.290584715,-0.30608297,-0.40844285,-0.2347196,4
BRD-A18202423,CPCCOEt,4,-0.290583635,-0.27634844000000003,-0.29758787,-0.22663862,4
BRD-K08845546,tacrolimus,5,-0.29058358,-0.29655481,-0.35220128,-0.21365187,5
BRD-K04111260,raclopride,8,-0.290577125,-0.28857297375,-0.3594659,-0.22593474,8
BRD-K81876028,CP-93129,5,-0.2905334,-0.278224442,-0.33426803,-0.20018108,5
BRD-A89049230,BRD-A89049230,4,-0.290532115,-0.279197225,-0.304795,-0.23092967,4
BRD-K85985071,ellipticine,1,-0.29050648,-0.29050648,-0.29050648,-0.29050648,1
BRD-A15131297,benazepril,5,-0.29047942,-0.280575976,-0.38442624,-0.2031629,5
BRD-K41160163,fenobam,6,-0.29024706499999997,-0.30496221,-0.39395905,-0.2599634,6
BRD-K23192422,lestaurtinib,3,-0.29020447,-0.3033148266666667,-0.37228966,-0.24745035,3
BRD-A38898897,GW-311616,9,-0.29019907,-0.29539909666666664,-0.36062437,-0.24509484,9
BRD-A75769826,SDM-25N,8,-0.29017833000000004,-0.29265799625,-0.34102595,-0.20853886,8
BRD-K51557114,BRD-K51557114,7,-0.29015487,-0.2938514742857143,-0.39764437,-0.21700987,7
BRD-A84134924,pancuronium,3,-0.29014695,-0.2663216366666667,-0.3027938,-0.20602416,3
BRD-A42571354,cetirizine,13,-0.29006964,-0.27953167384615385,-0.4087066,-0.19018048,13
BRD-K37130656,rivaroxaban,5,-0.29001534,-0.3023735,-0.34463036,-0.27302426,5
BRD-K87142802,veliparib,17,-0.29001325,-0.2891646888235294,-0.3832037,-0.2124136,17
BRD-K26373640,IKK-2-inhibitor,5,-0.28999823,-0.301643882,-0.36078224,-0.262663,5
BRD-K91701654,U-0126,7,-0.28998974,-0.27768453857142855,-0.39950553,-0.18845138,7
BRD-K26669427,WR-216174,2,-0.289957925,-0.289957925,-0.3379876,-0.24192825,2
BRD-K74501079,azithromycin,3,-0.28980562,-0.24715239666666666,-0.30317333,-0.14847824,3
BRD-K58033748,BRD-K58033748,2,-0.289781765,-0.289781765,-0.38999313,-0.1895704,2
BRD-K50495309,SRC-kinase-inhibitor-I,3,-0.28977042,-0.2998895733333333,-0.32073584,-0.28916246,3
BRD-K89085489,fenretinide,5,-0.28972197,-0.300769418,-0.37391186,-0.25074315,5
BRD-K83302049,protopine,3,-0.2895888,-0.2774272933333333,-0.326227,-0.21646608,3
BRD-A41250306,cyclopenthiazide,8,-0.289577515,-0.28443319625,-0.33234495,-0.23287062,8
BRD-K85030058,benactyzine,2,-0.289573435,-0.289573435,-0.36933225,-0.20981462,2
BRD-K11905747,spectinomycin,8,-0.28955308,-0.2986073475,-0.37094516,-0.20045204,8
BRD-K62200014,anagrelide,6,-0.289541185,-0.28221911666666666,-0.33731514,-0.22507656,6
BRD-K70642949,GSK-2334470,6,-0.28953686999999995,-0.284732355,-0.36309928,-0.21993557,6
BRD-A49172652,lansoprazole,7,-0.28953457,-0.28857133142857144,-0.35149354,-0.2152052,7
BRD-K48367671,febuxostat,6,-0.28937189500000005,-0.28645777666666666,-0.32774132,-0.24579242,6
BRD-A69636825,diltiazem,9,-0.28937006,-0.29904257666666667,-0.43905684,-0.23612934,9
BRD-K26241953,piceatannol,5,-0.28934586,-0.278187462,-0.3012898,-0.23997405,5
BRD-K59331372,SB-366791,3,-0.28931028,-0.28976789999999997,-0.29130602,-0.2886874,3
BRD-K94919853,10H-phenothiazin-10-yl)(p-tolyl)methanone,4,-0.28924837999999997,-0.2815710925,-0.32197994,-0.22580767,4
BRD-K19309090,SR-95639A,6,-0.28920636499999997,-0.296508265,-0.3523827,-0.25598842,6
BRD-K52075040,cerulenin,1,-0.2891837,-0.2891837,-0.2891837,-0.2891837,1
BRD-K60460488,nelfinavir,4,-0.289128065,-0.2781771725,-0.35090584,-0.18354672,4
BRD-K95402279,geranylgeraniol,3,-0.28912488,-0.29013151,-0.35887712,-0.22239253,3
BRD-A16665823,butoconazole,7,-0.28911096,-0.28312107999999997,-0.35275638,-0.2108427,7
BRD-K71731651,PNU-120596,7,-0.28902724,-0.27052810857142856,-0.32822537,-0.21150309,7
BRD-K40578143,GR-79236,5,-0.28901404,-0.29309124,-0.3106509,-0.27811393,5
BRD-K70358946,aripiprazole,2,-0.289000765,-0.289000765,-0.30092725,-0.27707428,2
BRD-K28168037,fenretinide,4,-0.28898583,-0.3007090225,-0.36873925,-0.25612518,4
BRD-K24656285,farnesol,8,-0.28890977,-0.2913635625,-0.37749666,-0.17960456,8
BRD-K86727142,embelin,8,-0.28890848,-0.2811273875,-0.33356178,-0.16753884,8
BRD-K21971034,OM-137,6,-0.288861545,-0.27589662833333334,-0.3511156,-0.19362545,6
BRD-K75295174,alisertib,16,-0.28886021500000003,-0.27405343375,-0.374996,-0.20445862,16
BRD-A36318220,necrostatin-1,10,-0.288830385,-0.291800568,-0.3622188,-0.2335583,10
BRD-A98378129,talniflumate,7,-0.28880608,-0.2924252742857143,-0.34338576,-0.21741955,7
BRD-K68488863,ENMD-2076,6,-0.2888007,-0.2683008983333333,-0.3047269,-0.19549455,6
BRD-K24053527,dextromethorphan,8,-0.28876451000000003,-0.28169775375,-0.36453205,-0.20084071,8
BRD-K63165456,norcyclobenzaprine,4,-0.2887147,-0.27927460249999997,-0.37068355,-0.16898546,4
BRD-K64052750,gefitinib,12,-0.288702815,-0.2785009941666667,-0.39399958,-0.1678324,12
BRD-K52930707,rescinnamine,6,-0.2886828,-0.3093283466666667,-0.39981323,-0.26064423,6
BRD-K59037100,oxybenzone,6,-0.28864166,-0.2938439116666667,-0.35088134,-0.25276977,6
BRD-K08924299,palonosetron,6,-0.28862919,-0.28765267,-0.37471163,-0.16917446,6
BRD-K36055864,cycloheximide,8,-0.28858324,-0.29355526125,-0.39852467,-0.19787958,8
BRD-K15196155,IBC-293,1,-0.28855994,-0.28855994,-0.28855994,-0.28855994,1
BRD-K15164005,apoptosis-activator-II,3,-0.28852922,-0.29866589666666665,-0.3442366,-0.26323187,3
BRD-K67017579,cilostazol,9,-0.288518,-0.2960515788888889,-0.37115353,-0.21765038,9
BRD-A83937277,mephenytoin,6,-0.28846647999999997,-0.29447503166666666,-0.38379154,-0.23823483,6
BRD-K36864847,BD-1047,3,-0.2884612,-0.2785320433333333,-0.29275888,-0.25437605,3
BRD-K35559145,levomepromazine,8,-0.288429875,-0.29650379375,-0.42790863,-0.21256341,8
BRD-K38305202,domperidone,5,-0.2883237,-0.292077072,-0.34232882,-0.21459877,5
BRD-K34995470,SU-1498,7,-0.28826943,-0.2854885385714286,-0.36832303,-0.18834448,7
BRD-K55044200,amoxicillin,4,-0.28820884999999996,-0.3185925075,-0.47216812,-0.22578421,4
BRD-A29322418,canrenoic-acid,5,-0.28819326,-0.29478107800000003,-0.4068373,-0.22855087,5
BRD-K93618743,ipriflavone,6,-0.28818081,-0.27407172166666666,-0.32306623,-0.1895444,6
BRD-K77641333,naphazoline,9,-0.2881636,-0.28138534666666665,-0.3402014,-0.19286104,9
BRD-A37492983,iocetamic-acid,5,-0.28814816,-0.261991272,-0.3082952,-0.16528404,5
BRD-K81209159,herniarin,1,-0.28814304,-0.28814304,-0.28814304,-0.28814304,1
BRD-K72783841,tyrphostin-AG-555,4,-0.28809202,-0.28769689249999997,-0.31788656,-0.25671697,4
BRD-K71499074,diclofenamide,4,-0.28809011,-0.3071859475,-0.38901055,-0.26355302,4
BRD-K51313569,palbociclib,6,-0.28808298,-0.3017226983333333,-0.39236176,-0.22709917,6
BRD-A18763547,BAX-channel-blocker,14,-0.28807926500000003,-0.285250085,-0.40322813,-0.20968041,14
BRD-A00267231,hemado,2,-0.28807046000000003,-0.28807046000000003,-0.3016995,-0.27444142,2
BRD-K66876909,linezolid,15,-0.28807002,-0.2854930586666667,-0.38339856,-0.19137046,15
BRD-A83855350,naltrexone,7,-0.28803453,-0.27500339,-0.323779,-0.20547238,7
BRD-K74212935,ergocryptine,4,-0.287968605,-0.292266205,-0.36132103,-0.23180658,4
BRD-A97479839,piperidolate,12,-0.28792676500000003,-0.2895304425,-0.37055576,-0.2062395,12
BRD-A01145011,zebularine,15,-0.2879098,-0.28975895533333335,-0.3625753,-0.18996134,15
BRD-K70778732,trazodone,13,-0.28790656,-0.2760173976923077,-0.32353234,-0.2098947,13
BRD-K24023109,diltiazem,8,-0.287880425,-0.29936601875,-0.42145127,-0.23089668,8
BRD-K70487031,flupentixol,3,-0.28787398,-0.3110036333333333,-0.37468746,-0.27044946,3
BRD-A73680854,PT-630,33,-0.28781664,-0.3090176590909091,-0.5202585,-0.20870884,33
BRD-K32526544,DCEBIO,4,-0.287743405,-0.27441828,-0.2952963,-0.22689001,4
BRD-K13872703,BRD-K13872703,3,-0.2876879,-0.2627199866666667,-0.30642784,-0.19404422,3
BRD-A97437073,rosiglitazone,17,-0.287686,-0.28739759352941174,-0.36612415,-0.20834643,17
BRD-K97564742,mepyramine,7,-0.2876721,-0.29675246285714285,-0.39421088,-0.22536221,7
BRD-A25143711,hydrocortisone-valerate,7,-0.287669,-0.2797585628571429,-0.3060574,-0.23441142,7
BRD-K89923877,scopolamine,8,-0.287640375,-0.28691000625,-0.378475,-0.22663523,8
BRD-K13926615,vardenafil,12,-0.28761245,-0.2811025716666667,-0.36218193,-0.19982237,12
BRD-A51393488,noscapine,7,-0.2876115,-0.28307424428571426,-0.3362128,-0.22015414,7
BRD-A29426959,carbinoxamine,13,-0.2876099,-0.3036198146153846,-0.43786144,-0.2590356,13
BRD-A99177642,deltaline,8,-0.28760682,-0.29678146,-0.37756717,-0.25569528,8
BRD-K55966568,orantinib,11,-0.28759825,-0.29842133818181815,-0.40694672,-0.21070963,11
BRD-K63641886,cefuroxime,1,-0.2875785,-0.2875785,-0.2875785,-0.2875785,1
BRD-K06593056,LE-135,8,-0.28754803500000004,-0.27935253125,-0.31445062,-0.21482895,8
BRD-A65767837,hydrocortisone-acetate,1,-0.28754157,-0.28754157,-0.28754157,-0.28754157,1
BRD-A43882281,pinacidil,4,-0.28746890999999997,-0.292399295,-0.34634155,-0.24831781,4
BRD-K45401373,betulinic-acid,1,-0.2874545,-0.2874545,-0.2874545,-0.2874545,1
BRD-K04466929,Merck60,12,-0.28744691499999997,-0.28955703083333334,-0.40180996,-0.2147536,12
BRD-K04412738,tramadol,2,-0.28738521,-0.28738521,-0.35061562,-0.2241548,2
BRD-K03670461,tyrphostin-AG-82,11,-0.28736386,-0.26804522454545454,-0.2995446,-0.19980428,11
BRD-K12906962,dichlorobenzamil,4,-0.287357325,-0.2880314325,-0.3024078,-0.27500328,4
BRD-A48430263,pioglitazone,13,-0.28728166,-0.2846193646153846,-0.4422288,-0.18516327,13
BRD-A53576514,orphenadrine,3,-0.28725725,-0.30293512666666667,-0.3602425,-0.26130563,3
BRD-A29289453,PCA-4248,3,-0.28721142,-0.28073175,-0.29795453,-0.2570293,3
BRD-K73109821,diazoxide,8,-0.28719525,-0.28014131124999997,-0.3371026,-0.2265454,8
BRD-A85472596,L-670596,3,-0.2871093,-0.2767603533333333,-0.32647896,-0.2166928,3
BRD-K44876623,zolpidem,9,-0.287108,-0.2906692122222222,-0.40347406,-0.20408899,9
BRD-K75181824,acetyl-geranygeranyl-cysteine,5,-0.28710586,-0.306650166,-0.39662793,-0.2579056,5
BRD-A66435872,HTMT,4,-0.28705698999999996,-0.30594034999999997,-0.36760104,-0.28204638,4
BRD-K78126613,menadione,28,-0.287050335,-0.2789458917857143,-0.3596272,-0.17215127,28
BRD-A95445494,maackiain,4,-0.28698706,-0.289321925,-0.3313955,-0.25191808,4
BRD-K63923597,barasertib-HQPA,41,-0.28697926,-0.2867639358536585,-0.4214724,-0.16749889,41
BRD-K78513633,lonidamine,5,-0.28694806,-0.319234416,-0.43608224,-0.2508706,5
