pert_id,pert_iname,n_signatures,median_connectivity,mean_connectivity,best_connectivity,worst_connectivity,n_negative_signatures
BRD-K60690191,MPEP,3,-0.33400518,-0.32085783,-0.3905983,-0.23797001,3
BRD-K94830329,ataluren,4,-0.33392577,-0.3368897525,-0.37263674,-0.30707073,4
BRD-K62792802,LY-83583,1,-0.33378327,-0.33378327,-0.33378327,-0.33378327,1
BRD-K55930204,phenytoin,7,-0.3337634,-0.2992960657142857,-0.3859656,-0.19205308,7
BRD-K89687904,PKCbeta-inhibitor,7,-0.3335489,-0.3295778228571429,-0.38864532,-0.28700954,7
BRD-K24859147,KIN001-242,2,-0.33343093,-0.33343093,-0.33934593,-0.32751593,2
BRD-K18779551,bifemelane,3,-0.3332225,-0.3122503033333333,-0.35262373,-0.25090468,3
BRD-K30563334,rifabutin,1,-0.33312953,-0.33312953,-0.33312953,-0.33312953,1
BRD-K29173907,isoflupredone-acetate,2,-0.33296229,-0.33296229,-0.34323892,-0.32268566,2
BRD-K56301217,ABT-737,9,-0.33226562,-0.3081650744444444,-0.36611092,-0.2291567,9
BRD-K85090592,pilocarpine,4,-0.33206183499999997,-0.33501304249999997,-0.37720534,-0.29872316,4
BRD-K88761633,BRD-K88761633,5,-0.33196002,-0.334413344,-0.35243806,-0.3144899,5
BRD-K79759031,artesunate,3,-0.33178762,-0.31475125,-0.34197077,-0.27049536,3
BRD-K47639036,flavoxate,3,-0.3316303,-0.3064920933333333,-0.35918707,-0.22865891,3
BRD-K39944607,ochratoxin-a,3,-0.33087164,-0.32933437,-0.35108167,-0.3060498,3
BRD-K33483813,actarit,8,-0.33066037000000004,-0.32697160625,-0.39733356,-0.2155328,8
BRD-A75368507,demeclocycline,1,-0.3305608,-0.3305608,-0.3305608,-0.3305608,1
BRD-K20995441,U-54494A,4,-0.33055010500000004,-0.3246254525,-0.3903052,-0.2470964,4
BRD-K74133369,oligomycin-a,4,-0.33045562,-0.3230906525,-0.3414731,-0.28997827,4
BRD-K94070024,depomedrol,4,-0.330311975,-0.334638455,-0.38486457,-0.2930653,4
BRD-K74402642,NSC-632839,17,-0.33028334,-0.3141100288235294,-0.39474177,-0.19128421,17
BRD-K70401845,erlotinib,6,-0.33024051,-0.3333987983333333,-0.4053899,-0.26608643,6
BRD-K54006094,formoterol,1,-0.33005053,-0.33005053,-0.33005053,-0.33005053,1
BRD-K82147103,lofepramine,1,-0.329961,-0.329961,-0.329961,-0.329961,1
BRD-K83010055,VU-0415374-1,4,-0.329687895,-0.31598965,-0.38714218,-0.21744063,4
BRD-K57631554,5-aminolevulinic-acid,1,-0.3296656,-0.3296656,-0.3296656,-0.3296656,1
BRD-K62959606,sphingosine,1,-0.32961985,-0.32961985,-0.32961985,-0.32961985,1
BRD-A53416814,ceramide,1,-0.32920563,-0.32920563,-0.32920563,-0.32920563,1
BRD-A81402010,KU-C103443N,3,-0.32916126,-0.29512178333333333,-0.3490858,-0.20711829,3
BRD-K49668410,clarithromycin,2,-0.329085815,-0.329085815,-0.39343548,-0.26473615,2
BRD-A39747742,estradiol-valerate,4,-0.32840266500000004,-0.32964009250000004,-0.3503523,-0.31140274,4
BRD-K57179821,crotamiton,9,-0.32830796,-0.33587472222222226,-0.40842706,-0.25181615,9
BRD-K41903098,diphenoxylate,2,-0.32826426,-0.32826426,-0.34197402,-0.3145545,2
BRD-K84036904,testosterone,1,-0.32807764,-0.32807764,-0.32807764,-0.32807764,1
BRD-M47793593,picrotoxin,2,-0.32802560999999997,-0.32802560999999997,-0.33895165,-0.31709957,2
BRD-K13087974,CGP-52411,1,-0.32794356,-0.32794356,-0.32794356,-0.32794356,1
BRD-A81772229,simvastatin,1,-0.3277868,-0.3277868,-0.3277868,-0.3277868,1
BRD-K40742111,baeomycesic-acid,3,-0.32760483,-0.31905495,-0.34075886,-0.28880116,3
BRD-K75532464,FTI-276,15,-0.32758576,-0.31717486066666667,-0.44012222,-0.23606303,15
BRD-K73589491,nizatidine,9,-0.32756853,-0.33316527444444444,-0.4259143,-0.23030972,9
BRD-K50384076,"7,4'-dihydroxyflavone",1,-0.32730204,-0.32730204,-0.32730204,-0.32730204,1
BRD-K87049188,fusaric-acid,5,-0.32706225,-0.29188405,-0.352596,-0.2069186,5
BRD-K22227508,targinine,1,-0.3270173,-0.3270173,-0.3270173,-0.3270173,1
BRD-A49734948,foliosidine,1,-0.3265748,-0.3265748,-0.3265748,-0.3265748,1
BRD-A30590053,MR-16728,6,-0.326524515,-0.322779365,-0.36989474,-0.24351078,6
BRD-A58564983,selamectin,6,-0.32631598500000003,-0.31577854499999997,-0.3788799,-0.21892682,6
BRD-K41170226,deoxycholic-acid,3,-0.32628542,-0.3166272833333333,-0.34573096,-0.27786547,3
BRD-K01567962,pyrazolanthrone,5,-0.32611626,-0.292016244,-0.34201974,-0.22995508,5
BRD-A41555725,chlortetracycline,5,-0.3259363,-0.317028066,-0.37389123,-0.25807038,5
BRD-A83859836,tropisetron,5,-0.32566878,-0.317095748,-0.35005116,-0.26407278,5
BRD-K98493452,honokiol,2,-0.325531865,-0.325531865,-0.38092053,-0.2701432,2
BRD-K99260425,etodolac,7,-0.3253621,-0.31757829857142855,-0.40582228,-0.20092376,7
BRD-K91691979,BRD-K91691979,6,-0.32470859500000004,-0.31764023166666666,-0.39242536,-0.2279,6
BRD-K00256256,BRD-K00256256,3,-0.32458103,-0.30961758,-0.34549177,-0.25877994,3
BRD-K56064827,EI-273,3,-0.32379222,-0.31318926333333336,-0.35510457,-0.260671,3
BRD-K04833372,GSK-1904529A,8,-0.323774485,-0.3165477725,-0.40985104,-0.20337656,8
BRD-K98372770,L-2167,8,-0.32372552,-0.3028476625,-0.37234223,-0.21429873,8
BRD-K68756823,FR-180204,6,-0.32353301,-0.29984955333333335,-0.37152988,-0.19735634,6
BRD-K34508425,KU-C103898N,4,-0.32291505,-0.3235979325,-0.3357364,-0.31282523,4
BRD-K00673382,famotidine,2,-0.32276687,-0.32276687,-0.38810098,-0.25743276,2
BRD-K43236057,polydatin,3,-0.32261276,-0.3275913366666667,-0.3479481,-0.31221315,3
BRD-A41145729,methoprene-acid,4,-0.32238781,-0.32903578499999997,-0.39268172,-0.2786858,4
BRD-K12401458,BRD-K12401458,3,-0.32214025,-0.3363588533333333,-0.40477788,-0.28215843,3
BRD-A37704979,SB-203580,10,-0.322025535,-0.315980095,-0.3784576,-0.24977878,10
BRD-K25224017,pirenperone,9,-0.321967,-0.32254005444444445,-0.39412746,-0.23354807,9
BRD-K12244279,MEK1-2-inhibitor,7,-0.32193512,-0.31366275000000005,-0.4373687,-0.20835167,7
BRD-K64245000,GW-4064,6,-0.321885665,-0.31653806,-0.3942654,-0.2231797,6
BRD-K77925998,quipazine,6,-0.321869925,-0.3098158183333333,-0.38238233,-0.19669339,6
BRD-K51730347,diphencyprone,4,-0.321683375,-0.3208457825,-0.3528632,-0.28715318,4
BRD-K26979635,NS-3694,6,-0.32165338,-0.32869266999999996,-0.40648508,-0.27654216,6
BRD-K59650319,YM-298198,7,-0.32153848,-0.3175100728571429,-0.42254406,-0.23973387,7
BRD-K49027941,PSB-1115,6,-0.32132981,-0.30218607666666664,-0.35967815,-0.18759818,6
BRD-A68009927,daunorubicin,7,-0.32122386,-0.3104346742857143,-0.3814028,-0.23803791,7
