query,signature_id,pert_id,pert_iname,pert_type,cell_id,pert_idose,pert_itime,is_touchstone,is_exemplar,connectivity
ATLAS_SIG_B_TOP100,CPD003_MCF7_24H:BRD-A36267905-001-01-4:10,BRD-A36267905,buphenine,trt_cp,MCF7,10 �M,24 h,1,0,-0.4290315
ATLAS_SIG_B_TOP100,CPC004_PC3_6H:BRD-K29582677-300-06-4:10,BRD-K29582677,flunarizine,trt_cp,PC3,10 �M,6 h,1,1,-0.4282174
ATLAS_SIG_B_TOP100,CPC002_PC3_24H:BRD-K35559145-050-03-6:10,BRD-K35559145,levomepromazine,trt_cp,PC3,10 �M,24 h,1,0,-0.42790863
ATLAS_SIG_B_TOP100,PCLB003_A549_24H:BRD-K24576554-001-01-4:0.12,BRD-K24576554,AT-9283,trt_cp,A549,0.12 �M,24 h,1,0,-0.42764202
ATLAS_SIG_B_TOP100,CPC004_PC3_24H:BRD-A62184259-001-02-8:10,BRD-A62184259,cycloheximide,trt_cp,PC3,10 �M,24 h,1,0,-0.42732805
ATLAS_SIG_B_TOP100,CPC006_VCAP_24H:BRD-K01976263-003-04-5:0.63,BRD-K01976263,emetine,trt_cp,VCAP,500 nM,24 h,1,0,-0.42708647
ATLAS_SIG_B_TOP100,HOG002_MCF7_6H:BRD-K92093830-003-18-3:0.013,BRD-K92093830,doxorubicin,trt_cp,MCF7,10 nM,6 h,1,0,-0.4265694
ATLAS_SIG_B_TOP100,CPC014_MCF7_24H:BRD-K61341215-004-01-2:10,BRD-K61341215,vecuronium,trt_cp,MCF7,10 �M,24 h,1,0,-0.4263388
ATLAS_SIG_B_TOP100,CPC006_HA1E_24H:BRD-A04352665-001-01-2:10,BRD-A04352665,maraviroc,trt_cp,HA1E,10 �M,24 h,1,1,-0.42606106
ATLAS_SIG_B_TOP100,CPC011_HT29_6H:BRD-K73589491-001-09-6:10,BRD-K73589491,nizatidine,trt_cp,HT29,10 �M,6 h,1,0,-0.4259143
ATLAS_SIG_B_TOP100,CPC006_HA1E_6H:BRD-K88560311-011-02-2:10,BRD-K88560311,rucaparib,trt_cp,HA1E,10 �M,6 h,1,0,-0.42562234
ATLAS_SIG_B_TOP100,HOG003_MCF7_6H:BRD-A47829399-001-01-1:0.1235,BRD-A47829399,artesunate,trt_cp,MCF7,100 nM,6 h,1,0,-0.424847
ATLAS_SIG_B_TOP100,CPC011_VCAP_6H:BRD-A93659613-051-05-1:10,BRD-A93659613,GR-89696,trt_cp,VCAP,10 �M,6 h,1,0,-0.42480385
ATLAS_SIG_B_TOP100,CPC003_HA1E_24H:BRD-K89055274-048-14-4:10,BRD-K89055274,alverine,trt_cp,HA1E,10 �M,24 h,1,0,-0.42465252
