query,pert_id,pert_iname,pert_type,tau
ATLAS_SIG_B_TOP100,BRD-K22429181,retinol,trt_cp,-76.66814
ATLAS_SIG_B_TOP100,BRD-K39187410,BRD-K39187410,trt_cp,-76.64527
ATLAS_SIG_B_TOP100,BRD-K60690191,MPEP,trt_cp,-76.639565
ATLAS_SIG_B_TOP100,BRD-K02607075,tubocurarine,trt_cp,-75.77972
ATLAS_SIG_B_TOP100,BRD-K15402119,huperzine-a,trt_cp,-75.77251
ATLAS_SIG_B_TOP100,BRD-K23875128,RHO-kinase-inhibitor-III[rockout],trt_cp,-75.69568
ATLAS_SIG_B_TOP100,BRD-K56343971,vemurafenib,trt_cp,-75.63464
ATLAS_SIG_B_TOP100,BRD-K55991774,BAS-09104376,trt_cp,-75.29918
ATLAS_SIG_B_TOP100,BRD-K11433652,aspirin,trt_cp,-75.0353
ATLAS_SIG_B_TOP100,BRD-A38898897,GW-311616,trt_cp,-74.87172
ATLAS_SIG_B_TOP100,BRD-A36010170,amcinonide,trt_cp,-74.5706
ATLAS_SIG_B_TOP100,BRD-K94070024,depomedrol,trt_cp,-74.27258
ATLAS_SIG_B_TOP100,BRD-K86727142,embelin,trt_cp,-74.17098
ATLAS_SIG_B_TOP100,BRD-K53561341,aurora-a-inhibitor-i,trt_cp,-73.910484
ATLAS_SIG_B_TOP100,BRD-K15262564,mupirocin,trt_cp,-73.87024
ATLAS_SIG_B_TOP100,BRD-K94325918,kinetin-riboside,trt_cp,-73.839066
ATLAS_SIG_B_TOP100,BRD-K33453211,levocabastine,trt_cp,-73.715904
ATLAS_SIG_B_TOP100,BRD-A55393291,testosterone,trt_cp,-73.701614
ATLAS_SIG_B_TOP100,BRD-K07996107,harpagoside,trt_cp,-73.27785
ATLAS_SIG_B_TOP100,BRD-K23913458,coumarin,trt_cp,-73.187294
ATLAS_SIG_B_TOP100,BRD-K01612348,meropenem,trt_cp,-73.15614
ATLAS_SIG_B_TOP100,BRD-K88677950,PD-198306,trt_cp,-72.456375
ATLAS_SIG_B_TOP100,BRD-A60414806,vincristine,trt_cp,-72.22496
ATLAS_SIG_B_TOP100,BRD-K22385716,LY-303511,trt_cp,-72.03151
ATLAS_SIG_B_TOP100,BRD-K68336408,tyrphostin-AG-1478,trt_cp,-71.827805
ATLAS_SIG_B_TOP100,BRD-K40892394,AR-C133057XX,trt_cp,-71.732864
ATLAS_SIG_B_TOP100,BRD-K41143549,N20C,trt_cp,-71.683685
ATLAS_SIG_B_TOP100,BRD-K28680267,BRD-K28680267,trt_cp,-71.55618
ATLAS_SIG_B_TOP100,BRD-K82846253,repaglinide,trt_cp,-71.47201
ATLAS_SIG_B_TOP100,BRD-K61106942,BRD-K61106942,trt_cp,-71.33548
ATLAS_SIG_B_TOP100,BRD-A31227688,kynuramine,trt_cp,-71.30246
ATLAS_SIG_B_TOP100,BRD-K54472332,elvitegravir,trt_cp,-70.96349
ATLAS_SIG_B_TOP100,BRD-K88761633,BRD-K88761633,trt_cp,-70.86825
ATLAS_SIG_B_TOP100,BRD-K22009844,phenprobamate,trt_cp,-70.626915
ATLAS_SIG_B_TOP100,BRD-M64432851,sunitinib,trt_cp,-70.36962
ATLAS_SIG_B_TOP100,BRD-K52620403,STO-609,trt_cp,-70.18081
ATLAS_SIG_B_TOP100,BRD-K46068882,eugenitol,trt_cp,-70.06354
ATLAS_SIG_B_TOP100,BRD-K41160163,fenobam,trt_cp,-69.89353
ATLAS_SIG_B_TOP100,BRD-K01507359,rifampicin,trt_cp,-69.727005
ATLAS_SIG_B_TOP100,BRD-A17065207,brefeldin-a,trt_cp,-69.44102
ATLAS_SIG_B_TOP100,BRD-A62035778,scopolamine,trt_cp,-69.300415
