rank,pert_id,pert_iname,n_signatures,median_connectivity,mean_connectivity,best_connectivity,weakest_connectivity,sd_connectivity,n_cells,cell_lines,doses,times,n_negative_signatures
38,BRD-K17849083,tranilast,5,-0.34564483,-0.338178086,-0.38069814,-0.28151405,0.03710608350380206,3,MCF7;PC3;VCAP,10 �M,24 h;6 h,5
39,BRD-A55946879,BW-B70C,1,-0.3453216,-0.3453216,-0.3453216,-0.3453216,0.0,1,VCAP,10 �M,6 h,1
40,BRD-K33106058,cytarabine,3,-0.34427088,-0.3107363766666667,-0.36631918,-0.22161907,0.07796122525886207,3,HA1E;PC3;VCAP,10 �M,6 h,3
41,BRD-K17823458,danoprevir,5,-0.34408414,-0.319758588,-0.40414703,-0.23032555,0.06995698365955624,3,A549;MCF7;PC3,10 �M,24 h;6 h,5
42,BRD-K44779798,miglitol,6,-0.34331497499999997,-0.33156335,-0.419602,-0.18082254,0.09010187537767149,4,HA1E;MCF7;PC3;VCAP,10 �M,24 h;6 h,6
43,BRD-K58299615,Ro-90-7501,1,-0.34252238,-0.34252238,-0.34252238,-0.34252238,0.0,1,VCAP,10 �M,6 h,1
44,BRD-K65910366,KU-C103904N,4,-0.34246701,-0.331902685,-0.37546912,-0.2672076,0.04675712258886303,3,A375;A549;VCAP,10 �M,24 h;6 h,4
45,BRD-A61899133,catechin,3,-0.34219843,-0.30617131000000003,-0.3774323,-0.1988832,0.09456960563163673,2,HA1E;PC3,10 �M,24 h;6 h,3
46,BRD-K67578145,GDC-0879,9,-0.34139043,-0.33323897555555554,-0.41864508,-0.2485241,0.056527522184493896,3,A375;HA1E;HEPG2,10 �M;100 nM;3 �M;500 nM,24 h;6 h,9
47,BRD-K68132782,terbinafine,4,-0.340882065,-0.337860155,-0.36233646,-0.30734003,0.02272173359840971,3,MCF7;PC3;VCAP,10 �M,24 h;6 h,4
48,BRD-A07614565,BRD-A07614565,4,-0.34049379999999996,-0.3180599025,-0.3647241,-0.22652791,0.0630120399875962,4,A549;HA1E;MCF7;VCAP,10 �M,24 h;6 h,4
49,BRD-K55070890,thiothixene,1,-0.339131,-0.339131,-0.339131,-0.339131,0.0,1,HCC515,10 �M,6 h,1
50,BRD-K12057390,apigenin,3,-0.33873856,-0.32753483,-0.36836153,-0.2755044,0.047431575162479055,3,HCC515;MCF7;VCAP,10 �M,6 h,3
51,BRD-U73238814,QL-XI-92,4,-0.338612185,-0.341553055,-0.36426258,-0.32472527,0.016524003745195474,4,A375;A549;HCC515;HEPG2,10 �M,6 h,4
52,BRD-A65013509,oxybutynin,3,-0.33815584,-0.31548338000000004,-0.3471846,-0.2611097,0.04730488805970481,3,MCF7;PC3;VCAP,10 �M,24 h;6 h,3
53,BRD-K93188295,ARC-239,9,-0.33795238,-0.3363124344444445,-0.4223544,-0.23295604,0.053150430448716035,6,A375;A549;HA1E;MCF7;PC3;VCAP,10 �M,24 h;6 h,9
54,BRD-K31238592,devazepide,1,-0.33666033,-0.33666033,-0.33666033,-0.33666033,0.0,1,A375,10 �M,6 h,1
55,BRD-K61496577,flumetasone,5,-0.33665735,-0.321057916,-0.36629012,-0.25055736,0.045567996413855304,5,A375;A549;HCC515;PC3;VCAP,10 �M,24 h;6 h,5
56,BRD-A80775386,hyperforin,5,-0.33603907,-0.30138066399999996,-0.4320053,-0.18648419,0.10660533112282909,4,A549;MCF7;PC3;VCAP,10 �M,24 h;6 h,5
57,BRD-A60197193,amisulpride,9,-0.33591905,-0.31691562666666667,-0.439447,-0.18093997,0.07506139787139758,6,A375;HA1E;HT29;MCF7;PC3;VCAP,10 �M,24 h;6 h,9
58,BRD-K77554836,triamcinolone,5,-0.335756,-0.317824552,-0.35565814,-0.2232472,0.05427720024603445,4,A549;HA1E;HEPG2;PC3,10 �M,24 h;6 h,5
59,BRD-K17349619,HLI-373,7,-0.33538866,-0.30732803714285717,-0.37768435,-0.2194463,0.05896340312932186,6,A375;HA1E;HCC515;HEPG2;PC3;VCAP,10 �M,24 h;6 h,7
60,BRD-K28936863,ketotifen,9,-0.33502048,-0.3178379811111111,-0.37191775,-0.24339353,0.041669494355224206,6,HA1E;HEPG2;HT29;MCF7;PC3;VCAP,10 �M,24 h;6 h,9
61,BRD-K62858456,lomerizine,3,-0.33463627,-0.32604813,-0.34768602,-0.2958221,0.02697746579900159,3,HT29;MCF7;VCAP,10 �M,24 h;6 h,3
62,BRD-K88871508,lisuride,5,-0.33460167,-0.317799002,-0.38124177,-0.19611675,0.07081631661788242,5,A549;HA1E;HCC515;HEPG2;VCAP,10 �M,24 h;6 h,5
63,BRD-K89348303,ramipril,7,-0.33427507,-0.3023333814285714,-0.41064507,-0.20639151,0.08299935124435981,5,HCC515;HT29;MCF7;PC3;VCAP,10 �M,24 h;6 h,7
64,BRD-A85234536,N6-cyclopentyladenosine,3,-0.33416128,-0.32495002,-0.34112126,-0.29956752,0.022255646701176773,3,HA1E;HCC515;HT29,10 �M,24 h;6 h,3
65,BRD-K60690191,MPEP,3,-0.33400518,-0.32085783,-0.3905983,-0.23797001,0.07715885131401258,3,HEPG2;HT29;MCF7,10 �M,24 h;6 h,3
66,BRD-K94830329,ataluren,4,-0.33392577,-0.3368897525,-0.37263674,-0.30707073,0.03034068736214939,4,HCC515;HT29;MCF7;VCAP,10 �M,6 h,4
67,BRD-K62792802,LY-83583,1,-0.33378327,-0.33378327,-0.33378327,-0.33378327,0.0,1,PC3,10 �M,24 h,1
68,BRD-K55930204,phenytoin,7,-0.3337634,-0.2992960657142857,-0.3859656,-0.19205308,0.07068336644682462,6,A375;A549;HCC515;HT29;MCF7;VCAP,10 �M,24 h;6 h,7
69,BRD-K89687904,PKCbeta-inhibitor,7,-0.3335489,-0.3295778228571429,-0.38864532,-0.28700954,0.037036673562909586,5,A375;A549;HA1E;HT29;VCAP,10 �M,24 h;6 h,7
70,BRD-K24859147,KIN001-242,2,-0.33343093,-0.33343093,-0.33934593,-0.32751593,0.008365073221436863,1,MCF7,10 �M,24 h;6 h,2
71,BRD-K18779551,bifemelane,3,-0.3332225,-0.3122503033333333,-0.35262373,-0.25090468,0.054005241023391735,3,A549;MCF7;VCAP,10 �M,24 h;6 h,3
72,BRD-K30563334,rifabutin,1,-0.33312953,-0.33312953,-0.33312953,-0.33312953,0.0,1,HA1E,10 �M,6 h,1
73,BRD-K29173907,isoflupredone-acetate,2,-0.33296229,-0.33296229,-0.34323892,-0.32268566,0.014533349521490232,2,A375;VCAP,10 �M,6 h,2
74,BRD-K56301217,ABT-737,9,-0.33226562,-0.3081650744444444,-0.36611092,-0.2291567,0.0510200329079601,6,A375;A549;HA1E;HEPG2;MCF7;VCAP,10 �M,24 h;6 h,9
75,BRD-K85090592,pilocarpine,4,-0.33206183499999997,-0.33501304249999997,-0.37720534,-0.29872316,0.040535428461190466,3,HT29;MCF7;PC3,10 �M,24 h;6 h,4
76,BRD-K88761633,BRD-K88761633,5,-0.33196002,-0.334413344,-0.35243806,-0.3144899,0.015775289202815908,4,HT29;MCF7;PC3;VCAP,10 �M,24 h;6 h,5
77,BRD-K79759031,artesunate,3,-0.33178762,-0.31475125,-0.34197077,-0.27049536,0.03866344508382171,3,A549;MCF7;PC3,10 �M,24 h;6 h,3
78,BRD-K47639036,flavoxate,3,-0.3316303,-0.3064920933333333,-0.35918707,-0.22865891,0.06879932568025963,2,MCF7;VCAP,10 �M,24 h;6 h,3
79,BRD-K39944607,ochratoxin-a,3,-0.33087164,-0.32933437,-0.35108167,-0.3060498,0.022555259435748026,3,A549;HCC515;VCAP,10 �M,6 h,3
80,BRD-K33483813,actarit,8,-0.33066037000000004,-0.32697160625,-0.39733356,-0.2155328,0.05070222035807587,7,A375;A549;HA1E;HT29;MCF7;PC3;VCAP,10 �M,24 h;6 h,8
81,BRD-A75368507,demeclocycline,1,-0.3305608,-0.3305608,-0.3305608,-0.3305608,0.0,1,PC3,10 �M,24 h,1
82,BRD-K20995441,U-54494A,4,-0.33055010500000004,-0.3246254525,-0.3903052,-0.2470964,0.07353018691946472,3,MCF7;PC3;VCAP,10 �M,24 h;6 h,4
83,BRD-K74133369,oligomycin-a,4,-0.33045562,-0.3230906525,-0.3414731,-0.28997827,0.02390102124689427,4,A375;A549;MCF7;PC3,10 �M,24 h;6 h,4
84,BRD-K94070024,depomedrol,4,-0.330311975,-0.334638455,-0.38486457,-0.2930653,0.03783402455259596,3,A549;HT29;PC3,10 �M,24 h;6 h,4
85,BRD-K74402642,NSC-632839,17,-0.33028334,-0.3141100288235294,-0.39474177,-0.19128421,0.061286930578834525,2,A549;MCF7,1 nM;1 �M;10 nM;10 �M;100 nM;3 �M;500 nM,24 h;6 h,17
86,BRD-K70401845,erlotinib,6,-0.33024051,-0.3333987983333333,-0.4053899,-0.26608643,0.05474393023950855,5,A375;A549;HA1E;MCF7;VCAP,1 �M;10 �M;500 nM,24 h;6 h,6
87,BRD-K54006094,formoterol,1,-0.33005053,-0.33005053,-0.33005053,-0.33005053,0.0,1,HA1E,10 �M,6 h,1
88,BRD-K82147103,lofepramine,1,-0.329961,-0.329961,-0.329961,-0.329961,0.0,1,MCF7,10 �M,24 h,1
89,BRD-K83010055,VU-0415374-1,4,-0.329687895,-0.31598965,-0.38714218,-0.21744063,0.07859974575514987,4,A375;A549;PC3;VCAP,10 �M,24 h;6 h,4
90,BRD-K57631554,5-aminolevulinic-acid,1,-0.3296656,-0.3296656,-0.3296656,-0.3296656,0.0,1,MCF7,10 �M,6 h,1
91,BRD-K62959606,sphingosine,1,-0.32961985,-0.32961985,-0.32961985,-0.32961985,0.0,1,VCAP,10 �M,6 h,1
92,BRD-A53416814,ceramide,1,-0.32920563,-0.32920563,-0.32920563,-0.32920563,0.0,1,VCAP,10 �M,24 h,1
93,BRD-A81402010,KU-C103443N,3,-0.32916126,-0.29512178333333333,-0.3490858,-0.20711829,0.07686161560041158,3,A375;HT29;PC3,10 �M,24 h;6 h,3
94,BRD-K49668410,clarithromycin,2,-0.329085815,-0.329085815,-0.39343548,-0.26473615,0.09100416897716528,2,HA1E;PC3,10 �M,24 h;6 h,2
95,BRD-A39747742,estradiol-valerate,4,-0.32840266500000004,-0.32964009250000004,-0.3503523,-0.31140274,0.017093865019301296,4,A375;A549;HEPG2;MCF7,10 �M,6 h,4
96,BRD-K57179821,crotamiton,9,-0.32830796,-0.33587472222222226,-0.40842706,-0.25181615,0.04703380154379316,7,A375;A549;HA1E;HCC515;HEPG2;HT29;VCAP,10 �M,24 h;6 h,9
97,BRD-K41903098,diphenoxylate,2,-0.32826426,-0.32826426,-0.34197402,-0.3145545,0.019388528528880126,2,A549;MCF7,10 �M,24 h;6 h,2
