query,signature_id,pert_id,pert_iname,pert_type,cell_id,pert_idose,pert_itime,is_touchstone,is_exemplar,connectivity
ATLAS_SIG_B_TOP100,CPC004_HT29_6H:BRD-K30816563-003-01-1:10,BRD-K30816563,ranitidine,trt_cp,HT29,10 �M,6 h,1,0,-0.24554352
ATLAS_SIG_B_TOP100,CPC006_HA1E_6H:BRD-K09778810-001-03-1:10,BRD-K09778810,FGIN-1-27,trt_cp,HA1E,10 �M,6 h,1,0,-0.2455318
ATLAS_SIG_B_TOP100,CPC002_HCC515_6H:BRD-K70577657-300-04-1:10,BRD-K70577657,H-9,trt_cp,HCC515,10 �M,6 h,1,1,-0.24551296
ATLAS_SIG_B_TOP100,CPC005_A549_24H:BRD-K91336023-001-01-4:10,BRD-K91336023,mesulergine,trt_cp,A549,10 �M,24 h,1,1,-0.24550943
ATLAS_SIG_B_TOP100,PCLB003_HEPG2_24H:BRD-K43797669-001-21-3:0.37,BRD-K43797669,genistein,trt_cp,HEPG2,0.37 �M,24 h,1,0,-0.24550085
ATLAS_SIG_B_TOP100,CPC017_HT29_6H:BRD-K76064317-001-03-2:10,BRD-K76064317,tyrphostin-AG-1296,trt_cp,HT29,10 �M,6 h,1,1,-0.24550012
ATLAS_SIG_B_TOP100,CPC004_PC3_24H:BRD-A69636825-003-03-9:10,BRD-A69636825,diltiazem,trt_cp,PC3,10 �M,24 h,1,0,-0.24549466
ATLAS_SIG_B_TOP100,CPC006_HT29_6H:BRD-U88459701-000-01-8:10,BRD-U88459701,atorvastatin,trt_cp,HT29,10 �M,6 h,1,0,-0.24548516
ATLAS_SIG_B_TOP100,CPC020_HA1E_6H:BRD-K20920669-236-06-1:10,BRD-K20920669,cromoglicic-acid,trt_cp,HA1E,10 �M,6 h,1,1,-0.24547924
ATLAS_SIG_B_TOP100,CPC006_A375_24H:BRD-K80672993-001-01-1:88.8,BRD-K80672993,M2-PK-activator,trt_cp,A375,90 �M,24 h,1,0,-0.24546984
ATLAS_SIG_B_TOP100,CPC015_HEPG2_6H:BRD-A29437505-001-01-6:10,BRD-A29437505,RWJ-21757,trt_cp,HEPG2,10 �M,6 h,1,1,-0.24544644
ATLAS_SIG_B_TOP100,PCLB002_HEPG2_24H:BRD-K59773493:0.12,BRD-K59773493,benzohydroxamic-acid,trt_cp,HEPG2,0.12 �M,24 h,1,0,-0.24542831
ATLAS_SIG_B_TOP100,CPC006_HA1E_6H:BRD-K99818283-001-01-8:10,BRD-K99818283,PIK-90,trt_cp,HA1E,10 �M,6 h,1,0,-0.24542025
ATLAS_SIG_B_TOP100,HOG002_MCF7_6H:BRD-K05653692-003-04-7:0.0015,BRD-K05653692,DL-PDMP,trt_cp,MCF7,1 nM,6 h,1,0,-0.24541879
ATLAS_SIG_B_TOP100,CPC020_A549_6H:BRD-K40645748-003-11-9:10,BRD-K40645748,mefloquine,trt_cp,A549,10 �M,6 h,1,1,-0.2454142
ATLAS_SIG_B_TOP100,CPC020_HCC515_6H:BRD-K74763371-001-01-8:10,BRD-K74763371,bosentan,trt_cp,HCC515,10 �M,6 h,1,1,-0.24540201
ATLAS_SIG_B_TOP100,HOG001_A549_24H:BRD-A85860691-001-02-2:0.0045,BRD-A85860691,chaetocin,trt_cp,A549,1 nM,24 h,1,0,-0.24538475
ATLAS_SIG_B_TOP100,CPC005_HT29_6H:BRD-K19507340-001-03-1:10,BRD-K19507340,megestrol,trt_cp,HT29,10 �M,6 h,1,0,-0.2453837
ATLAS_SIG_B_TOP100,CPC020_MCF7_6H:BRD-K66766661-001-15-0:10,BRD-K66766661,17-beta-estradiol,trt_cp,MCF7,10 �M,6 h,1,1,-0.24531956
ATLAS_SIG_B_TOP100,PCLB002_HEPG2_24H:BRD-K93367411:11.11,BRD-K93367411,BRD-K93367411,trt_cp,HEPG2,11.11 �M,24 h,1,0,-0.24531426
ATLAS_SIG_B_TOP100,CPC004_HEPG2_6H:BRD-K45861246-001-08-4:10,BRD-K45861246,azaperone,trt_cp,HEPG2,10 �M,6 h,1,0,-0.24530324
ATLAS_SIG_B_TOP100,CPC006_HA1E_24H:BRD-K41996876-001-03-0:10,BRD-K41996876,tyrphostin-1,trt_cp,HA1E,10 �M,24 h,1,1,-0.24530163
ATLAS_SIG_B_TOP100,CPD001_MCF7_24H:BRD-K89055274-048-17-7:10,BRD-K89055274,alverine,trt_cp,MCF7,10 �M,24 h,1,0,-0.24529865
ATLAS_SIG_B_TOP100,CPC005_HA1E_24H:BRD-K56403959-300-01-9:10,BRD-K56403959,ZK-756326,trt_cp,HA1E,10 �M,24 h,1,1,-0.24528977
ATLAS_SIG_B_TOP100,CPC011_PC3_6H:BRD-K21806131-050-02-5:10,BRD-K21806131,tegaserod,trt_cp,PC3,10 �M,6 h,1,1,-0.24527633
ATLAS_SIG_B_TOP100,CPC018_HT29_6H:BRD-A20589515-001-01-1:10,BRD-A20589515,dihydroxyphenylglycine,trt_cp,HT29,10 �M,6 h,1,1,-0.24527147
ATLAS_SIG_B_TOP100,CPC005_HT29_24H:BRD-K09255212-001-04-2:10,BRD-K09255212,clioquinol,trt_cp,HT29,10 �M,24 h,1,1,-0.24525447
ATLAS_SIG_B_TOP100,HOG003_A549_6H:BRD-A47829399-001-01-1:1.11,BRD-A47829399,artesunate,trt_cp,A549,1 �M,6 h,1,0,-0.24524392
ATLAS_SIG_B_TOP100,CPC013_HEPG2_6H:BRD-K56334280-001-01-0:10,BRD-K56334280,amonafide,trt_cp,HEPG2,10 �M,6 h,1,1,-0.24523988
ATLAS_SIG_B_TOP100,CPC005_VCAP_24H:BRD-K11129031-001-15-0:10,BRD-K11129031,gemfibrozil,trt_cp,VCAP,10 �M,24 h,1,1,-0.24523735
ATLAS_SIG_B_TOP100,HOG001_MCF7_6H:BRD-K68202742-001-10-8:0.0045,BRD-K68202742,trichostatin-a,trt_cp,MCF7,1 nM,6 h,1,0,-0.24523471
ATLAS_SIG_B_TOP100,CPC005_MCF7_6H:BRD-A78303415-001-03-5:10,BRD-A78303415,hyoscyamine,trt_cp,MCF7,10 �M,6 h,1,0,-0.24523202
ATLAS_SIG_B_TOP100,CPC011_A549_6H:BRD-K87024524-065-15-1:10,BRD-K87024524,phenelzine,trt_cp,A549,10 �M,6 h,1,1,-0.24521285
ATLAS_SIG_B_TOP100,CPC004_A375_6H:BRD-A25234499-001-09-2:10,BRD-A25234499,aminoglutethimide,trt_cp,A375,10 �M,6 h,1,1,-0.24521208
ATLAS_SIG_B_TOP100,HOG003_MCF7_24H:BRD-A79465854-001-01-3:0.0045,BRD-A79465854,auranofin,trt_cp,MCF7,1 nM,24 h,1,0,-0.24520785
ATLAS_SIG_B_TOP100,CPC003_HCC515_6H:BRD-K68873215-001-01-3:10,BRD-K68873215,phosphodiesterase-V-inhibitor-II,trt_cp,HCC515,10 �M,6 h,1,1,-0.24520601
ATLAS_SIG_B_TOP100,CPC005_MCF7_6H:BRD-K64755930-003-02-4:10,BRD-K64755930,etazolate,trt_cp,MCF7,10 �M,6 h,1,0,-0.24520582
