gene_set,source,term_id,term_name,FDR,term_size,intersection_size,precision,recall
UP,GO:BP,GO:0045926,negative regulation of growth,0.03735171483162426,221,6,0.05,0.027149321266968326
UP,GO:BP,GO:0033627,cell adhesion mediated by integrin,0.03735171483162426,89,4,0.03333333333333333,0.0449438202247191
UP,GO:BP,GO:0071674,mononuclear cell migration,0.038174532846369715,223,6,0.05,0.026905829596412557
UP,GO:BP,GO:0007601,visual perception,0.038174532846369715,223,6,0.05,0.026905829596412557
UP,GO:BP,GO:0060416,response to growth hormone,0.038174532846369715,42,3,0.025,0.07142857142857142
UP,GO:BP,GO:0044283,small molecule biosynthetic process,0.038851202511111675,580,10,0.08333333333333333,0.017241379310344827
UP,GO:BP,GO:0019217,regulation of fatty acid metabolic process,0.03988371108625378,94,4,0.03333333333333333,0.0425531914893617
UP,GO:BP,GO:0030198,extracellular matrix organization,0.03988371108625378,307,7,0.058333333333333334,0.02280130293159609
UP,GO:BP,GO:0046394,carboxylic acid biosynthetic process,0.03988371108625378,310,7,0.058333333333333334,0.02258064516129032
UP,GO:BP,GO:0050953,sensory perception of light stimulus,0.03988371108625378,226,6,0.05,0.02654867256637168
UP,GO:BP,GO:0052547,regulation of peptidase activity,0.03988371108625378,44,3,0.025,0.06818181818181818
UP,GO:BP,GO:0072359,circulatory system development,0.03988371108625378,1135,15,0.125,0.013215859030837005
UP,GO:BP,GO:1903035,negative regulation of response to wounding,0.03988371108625378,94,4,0.03333333333333333,0.0425531914893617
UP,GO:BP,GO:0032108,negative regulation of response to nutrient levels,0.03988371108625378,12,2,0.016666666666666666,0.16666666666666666
UP,GO:BP,GO:0032096,negative regulation of response to food,0.03988371108625378,12,2,0.016666666666666666,0.16666666666666666
UP,GO:BP,GO:0032099,negative regulation of appetite,0.03988371108625378,12,2,0.016666666666666666,0.16666666666666666
UP,GO:BP,GO:0043062,extracellular structure organization,0.03988371108625378,308,7,0.058333333333333334,0.022727272727272728
UP,GO:BP,GO:0043542,endothelial cell migration,0.03988371108625378,228,6,0.05,0.02631578947368421
UP,GO:BP,GO:0045229,external encapsulating structure organization,0.03988371108625378,309,7,0.058333333333333334,0.022653721682847898
UP,GO:BP,GO:0141124,intracellular signaling cassette,0.03988371108625378,1866,21,0.175,0.011254019292604502
UP,GO:BP,GO:0016053,organic acid biosynthetic process,0.04131561212210325,313,7,0.058333333333333334,0.022364217252396165
UP,GO:BP,GO:0050877,nervous system process,0.04175343400193385,1503,18,0.15,0.011976047904191617
UP,GO:BP,GO:1901293,nucleoside phosphate biosynthetic process,0.04378793532626178,317,7,0.058333333333333334,0.022082018927444796
UP,GO:BP,GO:0071396,cellular response to lipid,0.04397244870099254,600,10,0.08333333333333333,0.016666666666666666
UP,GO:BP,GO:0007166,cell surface receptor signaling pathway,0.04399057282683485,2834,28,0.23333333333333334,0.009880028228652082
UP,GO:BP,GO:0001886,endothelial cell morphogenesis,0.044003254950947576,13,2,0.016666666666666666,0.15384615384615385
UP,GO:BP,GO:0046349,amino sugar biosynthetic process,0.044003254950947576,13,2,0.016666666666666666,0.15384615384615385
UP,GO:BP,GO:0070486,leukocyte aggregation,0.044003254950947576,13,2,0.016666666666666666,0.15384615384615385
UP,GO:BP,GO:0009605,response to external stimulus,0.044003254950947576,2427,25,0.20833333333333334,0.010300782859497322
UP,GO:BP,GO:0043114,regulation of vascular permeability,0.044125986888377815,47,3,0.025,0.06382978723404255
UP,GO:BP,GO:0009636,response to toxic substance,0.04602067415390003,240,6,0.05,0.025
UP,GO:BP,GO:0007159,leukocyte cell-cell adhesion,0.04602067415390003,413,8,0.06666666666666667,0.01937046004842615
UP,GO:BP,GO:0010043,response to zinc ion,0.04602067415390003,48,3,0.025,0.0625
UP,GO:BP,GO:0032496,response to lipopolysaccharide,0.04778385487246556,326,7,0.058333333333333334,0.02147239263803681
