gene_set,source,term_id,term_name,FDR,term_size,intersection_size,precision,recall
UP,GO:CC,GO:0005886,plasma membrane,0.0021328139823815102,5906,53,0.4274193548387097,0.008973924822214697
UP,GO:CC,GO:0009986,cell surface,0.004239403744561074,904,15,0.12096774193548387,0.016592920353982302
UP,GO:CC,GO:0098588,bounding membrane of organelle,0.007158908988028288,2268,26,0.20967741935483872,0.01146384479717813
UP,GO:CC,GO:0016020,membrane,0.008430076734454787,9975,75,0.6048387096774194,0.007518796992481203
UP,GO:CC,GO:0012505,endomembrane system,0.011610506003296411,4949,44,0.3548387096774194,0.008890684986866033
UP,GO:CC,GO:0030054,cell junction,0.011610506003296411,2370,26,0.20967741935483872,0.010970464135021098
UP,GO:CC,GO:0030312,external encapsulating structure,0.011901791908351113,340,8,0.06451612903225806,0.023529411764705882
UP,GO:CC,GO:0031012,extracellular matrix,0.011901791908351113,339,8,0.06451612903225806,0.02359882005899705
UP,GO:CC,GO:0031253,cell projection membrane,0.015227110342799409,356,8,0.06451612903225806,0.02247191011235955
UP,GO:CC,GO:0005794,Golgi apparatus,0.016734529930133076,1680,20,0.16129032258064516,0.011904761904761904
UP,GO:CC,GO:0070161,anchoring junction,0.027674163028775903,911,13,0.10483870967741936,0.014270032930845226
UP,GO:CC,GO:0030667,secretory granule membrane,0.03284678926704718,321,7,0.056451612903225805,0.021806853582554516
UP,GO:CC,GO:0098552,side of membrane,0.03821724575833123,731,11,0.08870967741935484,0.015047879616963064
