query_symbol,matched_symbol,entrez_id,mapping_status,direction
TMCC3,TMCC3,57458,mapped,UP
DAPK1,DAPK1,1612,mapped,UP
ASCC3,ASCC3,10973,mapped,UP
NBEA,NBEA,26960,mapped,UP
GPX2,GPX2,2877,mapped,UP
CRIP1,CRIP1,1396,mapped,DOWN
MUCL1,MUCL1,118430,mapped,DOWN
HSPB8,HSPB8,26353,mapped,DOWN
MGP,MGP,4256,mapped,DOWN
TACSTD2,TACSTD2,4070,mapped,DOWN
MAPT,MAPT,4137,mapped,DOWN
PDLIM3,PDLIM3,27295,mapped,DOWN
PALLD,PALLD,23022,mapped,DOWN
AK4,AK4,205,mapped,DOWN
NPR3,NPR3,4883,mapped,DOWN
TUBA1A,TUBA1A,7846,mapped,DOWN
PLAAT3,PLAAT3,11145,mapped,DOWN
GATA3,GATA3,2625,mapped,DOWN
SYBU,SYBU,55638,mapped,DOWN
COL12A1,COL12A1,1303,mapped,DOWN
FSTL1,FSTL1,11167,mapped,DOWN
S100A10,S100A10,6281,mapped,DOWN
STC2,STC2,8614,mapped,DOWN
MAGED4,MAGED4,728239,mapped,DOWN
GPR68,GPR68,8111,mapped,DOWN
HSD17B8,HSD17B8,7923,mapped,DOWN
ZFAS1,ZFAS1,441951,mapped,DOWN
CA12,CA12,771,mapped,DOWN
SOX15,SOX15,6665,mapped,DOWN
PKP1,PKP1,5317,mapped,DOWN
CMTM3,CMTM3,123920,mapped,DOWN
FRAS1,FRAS1,80144,mapped,DOWN
ARSJ,ARSJ,79642,mapped,DOWN
SIAH2,SIAH2,6478,mapped,DOWN
NCR3LG1,NCR3LG1,374383,mapped,DOWN
RPL12,RPL12,6136,mapped,DOWN
IFITM3,IFITM3,10410,mapped,DOWN
RBP1,RBP1,5947,mapped,DOWN
GFRA1,GFRA1,2674,mapped,DOWN
TCN1,TCN1,6947,mapped,DOWN
CDKN2A,CDKN2A,1029,mapped,DOWN
RPS2P5,RPS2P5,100130562,mapped,DOWN
NRSN2,NRSN2,80023,mapped,DOWN
ARHGDIB,ARHGDIB,397,mapped,DOWN
SNRPN,SNRPN,6638,mapped,DOWN
MAT1A,MAT1A,4143,mapped,DOWN
RPS2,RPS2,6187,mapped,DOWN
UQCC1,UQCC1,55245,mapped,DOWN
ITPK1,ITPK1,3705,mapped,DOWN
INSYN1,INSYN1,388135,mapped,DOWN
TCEA3,TCEA3,6920,mapped,DOWN
SALL2,SALL2,6297,mapped,DOWN
FAM20C,FAM20C,56975,mapped,DOWN
OAS3,OAS3,4940,mapped,DOWN
ARHGEF37,ARHGEF37,389337,mapped,DOWN
MTCO1P12,MTCO1P12,107075141,mapped,DOWN
SLC40A1,SLC40A1,30061,mapped,DOWN
NLE1,NLE1,54475,mapped,DOWN
CD44,CD44,960,mapped,DOWN
FBXO32,FBXO32,114907,mapped,DOWN
